iteration,nb_attempts,ships_used,secret_ship,path
306,2,"['Constellation Andromeda', 'F7A Hornet Mk I']",F7A Hornet Mk I,Constellation Andromeda -> F7A Hornet Mk I
307,2,"['Hull E', '600i Touring']",600i Touring,Hull E -> 600i Touring
308,3,"['Redeemer', 'Kraken', 'Kraken Privateer']",Kraken Privateer,Redeemer -> Kraken -> Kraken Privateer
309,2,"['Eclipse', 'MOLE']",MOLE,Eclipse -> MOLE
310,2,"['Ares Star Fighter Inferno', 'Starlancer MAX']",Starlancer MAX,Ares Star Fighter Inferno -> Starlancer MAX
311,2,"['Railen', 'Reliant Sen']",Reliant Sen,Railen -> Reliant Sen
312,2,"['Starlancer MAX', 'P-52 Merlin']",P-52 Merlin,Starlancer MAX -> P-52 Merlin
313,2,"['Guardian QI', 'Freelancer MIS']",Freelancer MIS,Guardian QI -> Freelancer MIS
314,2,"['F7A Hornet Mk II', 'Intrepid']",Intrepid,F7A Hornet Mk II -> Intrepid
315,2,"['MPUV Personnel', 'Cutlass Black']",Cutlass Black,MPUV Personnel -> Cutlass Black
316,2,"['STV', 'Cutter']",Cutter,STV -> Cutter
317,2,"['Khartu-Al', 'Gladius']",Gladius,Khartu-Al -> Gladius
318,2,"['Railen', 'E1 Spirit']",E1 Spirit,Railen -> E1 Spirit
319,2,"['Cyclone TR', 'C8 Pisces']",C8 Pisces,Cyclone TR -> C8 Pisces
320,2,"['Vulture', 'Pioneer']",Pioneer,Vulture -> Pioneer
321,2,"['Ares Star Fighter Inferno', 'SRV']",SRV,Ares Star Fighter Inferno -> SRV
322,2,"['Terrapin', 'M2 Hercules']",M2 Hercules,Terrapin -> M2 Hercules
323,2,"['Mustang Omega', 'Starfarer']",Starfarer,Mustang Omega -> Starfarer
324,2,"['Cutlass Black', 'Cyclone RC']",Cyclone RC,Cutlass Black -> Cyclone RC
325,2,"['Glaive', 'MPUV Personnel']",MPUV Personnel,Glaive -> MPUV Personnel
326,2,"['A2 Hercules', 'Ranger CV']",Ranger CV,A2 Hercules -> Ranger CV
327,2,"['Cutlass Blue', 'Reliant Mako']",Reliant Mako,Cutlass Blue -> Reliant Mako
328,2,"['P-52 Merlin', 'Ironclad Assault']",Ironclad Assault,P-52 Merlin -> Ironclad Assault
329,3,"['Corsair', 'Aurora LN', 'Aurora MR']",Aurora MR,Corsair -> Aurora LN -> Aurora MR
330,3,"['Cutlass Blue', 'Idris-M', 'Idris-P']",Idris-P,Cutlass Blue -> Idris-M -> Idris-P
331,2,"['Nomad', 'Odyssey']",Odyssey,Nomad -> Odyssey
332,3,"['E1 Spirit', 'Aurora LN', 'Aurora MR']",Aurora MR,E1 Spirit -> Aurora LN -> Aurora MR
333,2,"['F7C Hornet Mk I', 'X1 Force']",X1 Force,F7C Hornet Mk I -> X1 Force
334,2,"['Vanguard Harbinger', 'Cutlass Red']",Cutlass Red,Vanguard Harbinger -> Cutlass Red
335,2,"['Fury', 'C2 Hercules']",C2 Hercules,Fury -> C2 Hercules
336,2,"['Starfarer Gemini', 'Retaliator']",Retaliator,Starfarer Gemini -> Retaliator
337,2,"['Cyclone RN', 'Cutlass Red']",Cutlass Red,Cyclone RN -> Cutlass Red
338,2,"['STV', 'Eclipse']",Eclipse,STV -> Eclipse
339,2,"['Centurion', 'Razor LX']",Razor LX,Centurion -> Razor LX
340,2,"['Expanse', 'Endeavor']",Endeavor,Expanse -> Endeavor
341,2,"['Aurora MR', 'Pioneer']",Pioneer,Aurora MR -> Pioneer
342,2,"['Mercury', 'Talon Shrike']",Talon Shrike,Mercury -> Talon Shrike
343,2,"['A1 Spirit', 'Freelancer MIS']",Freelancer MIS,A1 Spirit -> Freelancer MIS
344,3,"['Vulture', 'Guardian', 'Guardian QI']",Guardian QI,Vulture -> Guardian -> Guardian QI
345,2,"['Idris-M', 'Merchantman']",Merchantman,Idris-M -> Merchantman
346,2,"['F8C Lightning', 'X1']",X1,F8C Lightning -> X1
347,2,"['315p', '100i']",100i,315p -> 100i
348,2,"['Constellation Andromeda', 'Galaxy']",Galaxy,Constellation Andromeda -> Galaxy
349,2,"['F7C Hornet Mk II', 'Cutlass Black']",Cutlass Black,F7C Hornet Mk II -> Cutlass Black
350,2,"['Constellation Taurus', 'Terrapin Medic']",Terrapin Medic,Constellation Taurus -> Terrapin Medic
351,2,"['Zeus ES Mk II', 'Pulse LX']",Pulse LX,Zeus ES Mk II -> Pulse LX
352,2,"['Crucible', 'Hurricane']",Hurricane,Crucible -> Hurricane
353,2,"['X1 Force', 'C2 Hercules']",C2 Hercules,X1 Force -> C2 Hercules
354,2,"['MPUV Cargo', 'HoverQuad']",HoverQuad,MPUV Cargo -> HoverQuad
355,2,"['F7C Hornet Mk II', 'F7C-M Super Hornet']",F7C-M Super Hornet,F7C Hornet Mk II -> F7C-M Super Hornet
356,2,"['Talon Shrike', 'STV']",STV,Talon Shrike -> STV
357,2,"['Mustang Gamma', 'C1 Spirit']",C1 Spirit,Mustang Gamma -> C1 Spirit
358,2,"['MPUV Cargo', 'X1 Force']",X1 Force,MPUV Cargo -> X1 Force
359,1,['Defender'],Defender,Defender
360,2,"['ATLS', 'Dragonfly']",Dragonfly,ATLS -> Dragonfly
361,2,"['Freelancer MAX', 'Fury LX']",Fury LX,Freelancer MAX -> Fury LX
362,2,"['Mantis', 'Avenger Stalker']",Avenger Stalker,Mantis -> Avenger Stalker
363,2,"['Prospector', 'C1 Spirit']",C1 Spirit,Prospector -> C1 Spirit
364,2,"['STV', 'Mustang Delta']",Mustang Delta,STV -> Mustang Delta
365,2,"['Starfarer', 'Razor EX']",Razor EX,Starfarer -> Razor EX
366,2,"['Pulse LX', 'Aurora ES']",Aurora ES,Pulse LX -> Aurora ES
367,2,"['Constellation Andromeda', 'Liberator']",Liberator,Constellation Andromeda -> Liberator
368,2,"['Talon', 'Reclaimer']",Reclaimer,Talon -> Reclaimer
369,2,"['Constellation Aquila', 'Starlancer TAC']",Starlancer TAC,Constellation Aquila -> Starlancer TAC
370,7,"['Cutter Rambler', 'Vanguard Warden', 'Zeus ES Mk II', 'A1 Spirit', 'Zeus CL Mk II', 'Arrastra']",Arrastra,Cutter Rambler -> Vanguard Warden -> Zeus ES Mk II -> A1 Spirit -> Zeus CL Mk II -> Arrastra
371,3,"['Freelancer DUR', 'Aurora LN', 'Aurora MR']",Aurora MR,Freelancer DUR -> Aurora LN -> Aurora MR
372,2,"['Aurora ES', 'Constellation Andromeda']",Constellation Andromeda,Aurora ES -> Constellation Andromeda
373,2,"['Crucible', 'Arrastra']",Arrastra,Crucible -> Arrastra
374,2,"['Ranger RC', 'X1']",X1,Ranger RC -> X1
375,2,"['Constellation Taurus', 'Redeemer']",Redeemer,Constellation Taurus -> Redeemer
376,2,"['315p', 'Lynx']",Lynx,315p -> Lynx
377,2,"['Ursa Medivac', 'Reclaimer']",Reclaimer,Ursa Medivac -> Reclaimer
378,2,"['Hull B', 'Razor']",Razor,Hull B -> Razor
379,2,"['Razor EX', 'Mercury']",Mercury,Razor EX -> Mercury
380,2,"['Pulse LX', '325a']",325a,Pulse LX -> 325a
381,2,"['Cyclone RN', 'Spartan']",Spartan,Cyclone RN -> Spartan
382,2,"['F7C Hornet Mk I', 'Nova']",Nova,F7C Hornet Mk I -> Nova
383,2,"['Mustang Gamma', 'Reliant Mako']",Reliant Mako,Mustang Gamma -> Reliant Mako
384,2,"['Legionnaire', '600i Explorer']",600i Explorer,Legionnaire -> 600i Explorer
385,2,"['Storm', 'Gladius']",Gladius,Storm -> Gladius
386,2,"['Lynx', 'Mustang Alpha']",Mustang Alpha,Lynx -> Mustang Alpha
387,2,"['Hull B', 'Reliant Sen']",Reliant Sen,Hull B -> Reliant Sen
388,2,"['P-72 Archimedes', 'Cutlass Black']",Cutlass Black,P-72 Archimedes -> Cutlass Black
389,2,"['C8R Pisces', 'Sabre Raven']",Sabre Raven,C8R Pisces -> Sabre Raven
390,3,"['G12a', 'Ursa', 'Ursa Medivac']",Ursa Medivac,G12a -> Ursa -> Ursa Medivac
391,2,"['HoverQuad', 'Hull D']",Hull D,HoverQuad -> Hull D
392,2,"['350r', 'Cyclone TR']",Cyclone TR,350r -> Cyclone TR
393,2,"['Starlancer MAX', 'HoverQuad']",HoverQuad,Starlancer MAX -> HoverQuad
394,2,"['Freelancer DUR', 'Idris-M']",Idris-M,Freelancer DUR -> Idris-M
395,2,"['Avenger Warlock', 'Caterpillar']",Caterpillar,Avenger Warlock -> Caterpillar
396,2,"['Cyclone RN', 'Aurora LN']",Aurora LN,Cyclone RN -> Aurora LN
397,2,"['Genesis', 'Pulse LX']",Pulse LX,Genesis -> Pulse LX
398,2,"['Vanguard Harbinger', 'Ranger TR']",Ranger TR,Vanguard Harbinger -> Ranger TR
399,2,"['Scorpius', 'Scorpius Antares']",Scorpius Antares,Scorpius -> Scorpius Antares
400,2,"['CSV-SM', 'Vanguard Harbinger']",Vanguard Harbinger,CSV-SM -> Vanguard Harbinger
401,2,"['Storm AA', 'Scorpius']",Scorpius,Storm AA -> Scorpius
402,2,"['F7C-S Hornet Ghost Mk II', 'Mantis']",Mantis,F7C-S Hornet Ghost Mk II -> Mantis
403,2,"['Mustang Alpha', 'Mantis']",Mantis,Mustang Alpha -> Mantis
404,2,"['Reliant Sen', 'Terrapin Medic']",Terrapin Medic,Reliant Sen -> Terrapin Medic
405,2,"['Mule', 'Corsair']",Corsair,Mule -> Corsair
406,2,"['Intrepid', 'Pulse LX']",Pulse LX,Intrepid -> Pulse LX
407,2,"['Fury', 'Ursa']",Ursa,Fury -> Ursa
408,3,"['Kraken', 'Ares Star Fighter Inferno', 'Ares Star Fighter Ion']",Ares Star Fighter Ion,Kraken -> Ares Star Fighter Inferno -> Ares Star Fighter Ion
409,2,"['Razor EX', 'Ranger TR']",Ranger TR,Razor EX -> Ranger TR
410,2,"['Galaxy', 'G12a']",G12a,Galaxy -> G12a
411,2,"['Nautilus', 'Starlancer MAX']",Starlancer MAX,Nautilus -> Starlancer MAX
412,3,"['G12', 'Hull D', 'Hull E']",Hull E,G12 -> Hull D -> Hull E
413,2,"['Starlancer MAX', 'Terrapin Medic']",Terrapin Medic,Starlancer MAX -> Terrapin Medic
414,2,"['F7C-S Hornet Ghost', 'Herald']",Herald,F7C-S Hornet Ghost -> Herald
415,2,"['Vulcan', 'STV']",STV,Vulcan -> STV
416,3,"['ROC', '350r', 'M50']",M50,ROC -> 350r -> M50
417,3,"['85X', 'Storm', 'Storm AA']",Storm AA,85X -> Storm -> Storm AA
418,2,"['Mustang Beta', 'Buccaneer']",Buccaneer,Mustang Beta -> Buccaneer
419,2,"['X1', 'Constellation Aquila']",Constellation Aquila,X1 -> Constellation Aquila
420,2,"['Ranger RC', 'Defender']",Defender,Ranger RC -> Defender
421,2,"['Talon', '300i']",300i,Talon -> 300i
422,2,"['Cutlass Black', 'Freelancer DUR']",Freelancer DUR,Cutlass Black -> Freelancer DUR
423,2,"['Khartu-Al', 'Defender']",Defender,Khartu-Al -> Defender
424,2,"['135c', 'Gladiator']",Gladiator,135c -> Gladiator
425,2,"['Starlancer TAC', 'ATLS']",ATLS,Starlancer TAC -> ATLS
426,2,"['Carrack', 'Ares Star Fighter Inferno']",Ares Star Fighter Inferno,Carrack -> Ares Star Fighter Inferno
427,2,"['Avenger Warlock', 'Mercury']",Mercury,Avenger Warlock -> Mercury
428,2,"['MPUV Tractor', '350r']",350r,MPUV Tractor -> 350r
429,2,"['X1 Force', 'F7C-R Hornet Tracker Mk II']",F7C-R Hornet Tracker Mk II,X1 Force -> F7C-R Hornet Tracker Mk II
430,3,"['Ironclad', 'Storm', 'Storm AA']",Storm AA,Ironclad -> Storm -> Storm AA
431,2,"['Nautilus', 'Mustang Alpha']",Mustang Alpha,Nautilus -> Mustang Alpha
432,2,"['Nautilus', 'Scorpius']",Scorpius,Nautilus -> Scorpius
433,2,"['F8C Lightning', 'Reliant Sen']",Reliant Sen,F8C Lightning -> Reliant Sen
434,2,"['ATLS', 'STV']",STV,ATLS -> STV
435,2,"['A1 Spirit', 'Storm']",Storm,A1 Spirit -> Storm
436,2,"['X1', 'Caterpillar']",Caterpillar,X1 -> Caterpillar
437,2,"['Nomad', 'Prospector']",Prospector,Nomad -> Prospector
438,2,"['Mule', 'Railen']",Railen,Mule -> Railen
439,2,"['Railen', 'MPUV Tractor']",MPUV Tractor,Railen -> MPUV Tractor
440,2,"['Nova', 'Corsair']",Corsair,Nova -> Corsair
441,2,"['Expanse', 'Vanguard Sentinel']",Vanguard Sentinel,Expanse -> Vanguard Sentinel
442,2,"['Avenger Warlock', 'ROC-DS']",ROC-DS,Avenger Warlock -> ROC-DS
443,3,"['Ironclad', 'Guardian', 'Guardian QI']",Guardian QI,Ironclad -> Guardian -> Guardian QI
444,2,"['Ballista', 'Avenger Titan']",Avenger Titan,Ballista -> Avenger Titan
445,2,"['Reliant Mako', 'Guardian']",Guardian,Reliant Mako -> Guardian
446,2,"['Retaliator', 'Vulcan']",Vulcan,Retaliator -> Vulcan
447,2,"['Gladiator', '125a']",125a,Gladiator -> 125a
448,2,"['Gladiator', 'Freelancer MAX']",Freelancer MAX,Gladiator -> Freelancer MAX
449,3,"['STV', 'Kraken', 'Kraken Privateer']",Kraken Privateer,STV -> Kraken -> Kraken Privateer
450,2,"['Cutlass Steel', '135c']",135c,Cutlass Steel -> 135c
451,2,"['RAFT', 'Ursa']",Ursa,RAFT -> Ursa
452,2,"['Endeavor', 'Avenger Titan']",Avenger Titan,Endeavor -> Avenger Titan
453,2,"['Herald', '315p']",315p,Herald -> 315p
454,2,"['Avenger Stalker', '100i']",100i,Avenger Stalker -> 100i
455,2,"['Aurora CL', 'E1 Spirit']",E1 Spirit,Aurora CL -> E1 Spirit
456,2,"['Hull D', 'Freelancer DUR']",Freelancer DUR,Hull D -> Freelancer DUR
457,2,"['Reliant Kore', 'A2 Hercules']",A2 Hercules,Reliant Kore -> A2 Hercules
458,2,"['Razor', 'Gladius']",Gladius,Razor -> Gladius
459,2,"['G12r', 'Starfarer']",Starfarer,G12r -> Starfarer
460,2,"['Reliant Mako', 'Buccaneer']",Buccaneer,Reliant Mako -> Buccaneer
461,2,"['Nova', 'Storm']",Storm,Nova -> Storm
462,2,"['Ironclad Assault', 'Terrapin Medic']",Terrapin Medic,Ironclad Assault -> Terrapin Medic
463,2,"['Pioneer', 'Perseus']",Perseus,Pioneer -> Perseus
464,3,"['Hull D', 'Aurora LN', 'Aurora MR']",Aurora MR,Hull D -> Aurora LN -> Aurora MR
465,2,"['Cyclone MT', 'Cutter']",Cutter,Cyclone MT -> Cutter
466,3,"['Storm AA', 'Apollo Medivac', 'Apollo Triage']",Apollo Triage,Storm AA -> Apollo Medivac -> Apollo Triage
467,2,"['Nova', 'Ranger RC']",Ranger RC,Nova -> Ranger RC
468,2,"['Nox', 'Prowler']",Prowler,Nox -> Prowler
469,2,"['Legionnaire', 'STV']",STV,Legionnaire -> STV
470,2,"['Vanguard Harbinger', 'Crucible']",Crucible,Vanguard Harbinger -> Crucible
471,2,"['F7C-S Hornet Ghost Mk II', 'Nomad']",Nomad,F7C-S Hornet Ghost Mk II -> Nomad
472,2,"['C1 Spirit', 'Buccaneer']",Buccaneer,C1 Spirit -> Buccaneer
473,2,"['85X', 'Mantis']",Mantis,85X -> Mantis
474,2,"['Prospector', 'Storm']",Storm,Prospector -> Storm
475,2,"['Glaive', 'Vulture']",Vulture,Glaive -> Vulture
476,3,"['P-52 Merlin', 'Storm', 'Storm AA']",Storm AA,P-52 Merlin -> Storm -> Storm AA
477,2,"['Scythe', 'Glaive']",Glaive,Scythe -> Glaive
478,2,"['G12a', 'Vanguard Warden']",Vanguard Warden,G12a -> Vanguard Warden
479,2,"['Scorpius Antares', 'C1 Spirit']",C1 Spirit,Scorpius Antares -> C1 Spirit
480,2,"['Merchantman', 'Ares Star Fighter Inferno']",Ares Star Fighter Inferno,Merchantman -> Ares Star Fighter Inferno
481,2,"['Railen', '600i Explorer']",600i Explorer,Railen -> 600i Explorer
482,2,"['Herald', 'Sabre']",Sabre,Herald -> Sabre
483,2,"['Nomad', 'G12a']",G12a,Nomad -> G12a
484,2,"['C2 Hercules', 'Railen']",Railen,C2 Hercules -> Railen
485,2,"['Mule', 'Nox']",Nox,Mule -> Nox
486,2,"['Khartu-Al', 'Lynx']",Lynx,Khartu-Al -> Lynx
487,2,"['Hull A', 'Eclipse']",Eclipse,Hull A -> Eclipse
488,2,"['Starlancer TAC', 'P-72 Archimedes']",P-72 Archimedes,Starlancer TAC -> P-72 Archimedes
489,2,"['C1 Spirit', 'Hull C']",Hull C,C1 Spirit -> Hull C
490,2,"['Starfarer Gemini', 'G12r']",G12r,Starfarer Gemini -> G12r
491,2,"['Starfarer Gemini', 'Cutter']",Cutter,Starfarer Gemini -> Cutter
492,2,"['315p', 'RAFT']",RAFT,315p -> RAFT
493,2,"['Cyclone TR', 'Endeavor']",Endeavor,Cyclone TR -> Endeavor
494,2,"['C8X Pisces Expedition', 'X1']",X1,C8X Pisces Expedition -> X1
495,2,"['MPUV Tractor', '325a']",325a,MPUV Tractor -> 325a
496,2,"['P-72 Archimedes', 'Storm']",Storm,P-72 Archimedes -> Storm
497,2,"['Hull B', 'MOLE']",MOLE,Hull B -> MOLE
498,2,"['PTV', 'Hull D']",Hull D,PTV -> Hull D
499,2,"['Vanguard Hoplite', 'Cutlass Red']",Cutlass Red,Vanguard Hoplite -> Cutlass Red
500,2,"['Mustang Beta', 'Constellation Taurus']",Constellation Taurus,Mustang Beta -> Constellation Taurus
