,uuid,name,slug,class_name,sizes,emission,mass,cargo_capacity,vehicle_inventory,personal_inventory,crew,health,shield_hp,speed,fuel,quantum,agility,armor,foci,type,description,size_class,manufacturer,insurance,parts,updated_at,version,id,chassis_id,production_status,production_note,size,msrp,pledge_url,loaner,skus
Hull D,,Hull D,hull-d,,"{'length': 209, 'beam': 70, 'height': 70}",,1216000,20736,,,"{'min': 3, 'max': 5}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Heavy Freight'],transport,"The Hull D kicks off the larger end of the spectrum with a massive ship built around a rugged frame. The Hull D is affordable enough to be operated by mid-sized organizations and companies. Hull D are often used as flagships for mercantile operations, but their bulk means that they should be operated with escort fighters while not in safe space. The UEE military uses modified Hull D as part of their supply chain, arming and refueling the soldiers on the front line.",,"{'code': 'MISC', 'name': 'MISC'}",,,2024-08-05T16:37:08.000000Z,,86,24,in-concept,Concept complete,capital,550,https://robertsspaceindustries.com/pledge/ships/hull/Hull-D,"[{'name': 'C2 Hercules', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/7533ff77-836c-4bd2-9171-487d9c63863c', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Hull C', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/c4ceff45-d851-44b1-921b-bfef93a6cd6a', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Arrow', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/eaeb562d-d4ac-43bd-a843-e8a6d69fad82', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Standard Edition', 'price': 550, 'available': 1, 'imported_at': '2024-01-09T23:00:58.000000Z'}]"
Hull E,,Hull E,hull-e,,"{'length': 372, 'beam': 104, 'height': 104}",,1652000,98304,,,"{'min': 4, 'max': 5}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Heavy Freight'],transport,"The largest specialized freighter available on the market today, the Hull E is generally owned by major corporations and operated with a high degree of planning. The lack of maneuverability inherent in such a large ship means that anyone planning to operate them should be careful about equipping turrets and providing escort. Their potential load (and modularity) is unparalleled, however: no other ship allows as much room to store goods or to modify towards another role!",,"{'code': 'MISC', 'name': 'MISC'}",,,2025-05-02T14:05:48.000000Z,,87,24,in-concept,Concept complete,capital,750,https://robertsspaceindustries.com/pledge/ships/hull/Hull-E,"[{'name': 'C2 Hercules', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/7533ff77-836c-4bd2-9171-487d9c63863c', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Hull C', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/c4ceff45-d851-44b1-921b-bfef93a6cd6a', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Arrow', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/eaeb562d-d4ac-43bd-a843-e8a6d69fad82', 'version': '4.1.1-LIVE.9768350'}]",[]
Hurricane,3a586d52-4829-4504-8e3a-4ee300bb40cc,Hurricane,hurricane,ANVL_Hurricane,"{'length': 0, 'beam': 0, 'height': 0}","{'ir': 9436, 'em_idle': 9173, 'em_max': 28091}",0,0,3.87,0,"{'min': 1, 'max': None, 'weapon': 1, 'operation': None}",0,4740,"{'scm': 214, 'max': 1125, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 60, 'maneuvering': 34, 'retro': 22, 'vtol': 0}}","{'quantum_speed': 165000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 45, 'yaw': 35, 'roll': 130, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.46, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Heavy Fighter'],combat,Big things do come in small packages: the Hurricane is a fighting spacecraft that packs a deadly punch into a slight fuselage. The spacecraft compensates for its lack of creature comforts with its powerful armament - six guns capable of blasting their way through nearly anything. Hurricane pilots have yet to find an enemy shield they can't knock down.,2,"{'name': 'Anvil Aerospace', 'code': 'ANVL'}","{'claim_time': 8.55, 'expedite_time': 2.849, 'expedite_cost': 4148}",[],2025-02-21T06:54:17.000000Z,4.1.0-LIVE.9650658,128,49,flight-ready,None,small,210,https://robertsspaceindustries.com/pledge/ships/hurricane/Hurricane,"[{'name': 'F7C-M Super Hornet Mk I', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/4f83f89d-480b-4d1b-867a-13772742d828', 'version': '3.24.3-LIVE.9423704'}]","[{'title': 'Warbond Edition', 'price': 195, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}, {'title': 'Standard Edition', 'price': 210, 'available': 1, 'imported_at': '2024-01-10T23:00:58.000000Z'}]"
Idris-M,,Idris-M,idris-m,,"{'length': 243, 'beam': 127, 'height': 57.5}",,37854373,1326,,,"{'min': 8, 'max': 28}",,,"{'scm': 110, 'max': 220}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Frigate'],combat,"Larger than a bomber but smaller than a ship of the line, frigates occupy an interesting space in the pantheon of warships. While they lack the heavy armor and the capital weaponry of a cruiser, frigates are more maneuverable and are highly configurable.",,"{'code': 'AEGS', 'name': 'Aegis Dynamics'}",,,2025-05-15T14:00:37.000000Z,,27,14,flight-ready,Currently being built and tested for implementation in-game,capital,1000,,"[{'name': 'MPUV Personnel', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/e17ccf62-f2d2-4c4e-a132-a3000d40fbde', 'version': '4.1.1-LIVE.9768350'}, {'name': 'F7C-M Super Hornet Mk I', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/4f83f89d-480b-4d1b-867a-13772742d828', 'version': '4.1.1-LIVE.9768350'}]",[]
Idris-P,,Idris-P,idris-p,,"{'length': 240, 'beam': 125, 'height': 45}",,37854373,1374,,,"{'min': 8, 'max': 28}",,,"{'scm': 110, 'max': 220}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Frigate'],combat,"The Aegis Idris has long served the UEE Navy as its go-to frigate, striking fear into every soul unfortunate enough to meet it. Fly the civilianized Idris-P to experience the full might of Humanity’s most devastating capital-class gunship.",,"{'code': 'AEGS', 'name': 'Aegis Dynamics'}",,,2025-05-15T14:00:43.000000Z,,28,14,flight-ready,Currently being built and tested for implementation in-game,capital,1900,https://robertsspaceindustries.com/pledge/ships/aegis-idris/Idris-P,"[{'name': 'MPUV Personnel', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/e17ccf62-f2d2-4c4e-a132-a3000d40fbde', 'version': '4.1.1-LIVE.9768350'}, {'name': 'F7C-M Super Hornet Mk I', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/4f83f89d-480b-4d1b-867a-13772742d828', 'version': '4.1.1-LIVE.9768350'}]",[]
Intrepid,16aa514f-12ac-43a4-b51d-44447252186e,Intrepid,intrepid,CRUS_Intrepid,"{'length': 23.07, 'beam': 20.18, 'height': 6.13}","{'ir': 9541, 'em_idle': 1727, 'em_max': 15147}",0,8,2,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,1500,"{'scm': 227, 'max': 1225, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 30, 'usage': {'main': 25, 'maneuvering': 67, 'retro': 90, 'vtol': 2}}","{'quantum_speed': 168000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 48, 'yaw': 48, 'roll': 145, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Light Freight'],transport,"Versatile starter ship and light hauler built with true Crusader quality.

",2,"{'name': 'Crusader Industries', 'code': 'CRUS'}","{'claim_time': 5.67, 'expedite_time': 1.419, 'expedite_cost': 1850}",[],2025-02-21T06:54:54.000000Z,4.1.0-LIVE.9650658,280,117,flight-ready,None,small,65,https://robertsspaceindustries.com/pledge/ships/intrepid/Intrepid,[],"[{'title': 'Standard Edition', 'price': 65, 'available': 1, 'imported_at': '2024-11-23T23:01:08.000000Z'}, {'title': 'Standard Edition', 'price': 65, 'available': 1, 'imported_at': '2025-02-06T23:01:24.000000Z'}]"
Ironclad,,Ironclad,ironclad,,"{'length': 120, 'beam': 52, 'height': 20}",,,1536,,,"{'min': 1, 'max': 6}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Armored Freight'],transport,"Run the skies with Drake’s mighty Ironclad, an armored freighter that takes the risks involved in deep-space traversal and transport seriously.",,"{'code': 'DRAK', 'name': 'Drake Interplanetary'}",,,2024-05-29T11:07:22.000000Z,,274,114,in-concept,None,large,450,https://robertsspaceindustries.com/pledge/ships/ironclad/Ironclad,[],"[{'title': 'Standard Edition', 'price': 450, 'available': 1, 'imported_at': '2024-05-26T22:00:27.000000Z'}]"
Ironclad Assault,,Ironclad Assault,ironclad-assault,,"{'length': 120, 'beam': 52, 'height': 20}",,,1152,,,"{'min': 1, 'max': 6}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Combined Arms Platform'],combat,"The ultimate combined arms platform, the Ironclad Assault safely carries heavy vehicles and squads of infantry, with daunting auxiliary turrets providing direct support.",,"{'code': 'DRAK', 'name': 'Drake Interplanetary'}",,,2024-07-16T16:11:33.000000Z,,275,114,in-concept,None,large,535,https://robertsspaceindustries.com/pledge/ships/ironclad/Ironclad-Assault,[],"[{'title': 'Standard Edition', 'price': 535, 'available': 1, 'imported_at': '2024-05-26T22:00:27.000000Z'}]"
Javelin,05a4f566-36a4-495c-99a4-dbedc5105cb6,Javelin,javelin,AEGS_Javelin,"{'length': 0, 'beam': 0, 'height': 0}","{'ir': 39912, 'em_idle': 78441, 'em_max': 308662}",0,0,32,0,"{'min': 1, 'max': None, 'weapon': 15, 'operation': None}",0,12840000,"{'scm': 50, 'max': 900, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 31667, 'maneuvering': 24022, 'retro': 9754, 'vtol': 0}}","{'quantum_speed': 876000000, 'quantum_spool_time': 9, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 7, 'yaw': 8, 'roll': 15, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Destroyer'],combat,"Designed for use by the UEE military, the Javelin is a massive, modular capital ship that can be appropriated for entrepreneurial use. With a detailed interior, plenty of modular room options and a high crew capacity, the Javelin is a ship that has made a name for itself in a variety of roles.",6,"{'name': 'Aegis Dynamics', 'code': 'AEGS'}","{'claim_time': 168.75, 'expedite_time': 56.25, 'expedite_cost': 84375}",[],2025-02-21T06:53:27.000000Z,4.1.0-LIVE.9650658,63,28,in-concept,Currently being built and tested for implementation in-game,capital,3000,,"[{'name': 'MPUV Cargo', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/e19fc6c3-f5fa-4623-9a17-b00a29b71500', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Idris-P', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/Idris-P', 'version': '4.1.1-LIVE.9768350'}]",[]
Khartu-Al,,Khartu-Al,khartu-al,,"{'length': 32, 'beam': 13.5, 'height': 8.75}",,72711,0,,,"{'min': 1, 'max': 1}",,,"{'scm': 226, 'max': 1206}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Light Fighter'],combat,"The Xi'an Aopoa corporation manufactures an export model of the Qhire Khartu, the Khartu-al, for sale to Human civilians. The export model features the same Xi'an maneuvering rig, but control surfaces modified for Human use and a more limited armament.",,"{'code': 'XNAA', 'name': 'Aopoa'}",,,2025-01-13T18:31:48.000000Z,,35,19,flight-ready,None,small,175,https://robertsspaceindustries.com/pledge/ships/khartu/Khartu-Al,[],"[{'title': 'Warbond Edition', 'price': 160, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 170, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 160, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 175, 'available': 1, 'imported_at': '2024-11-25T23:00:55.000000Z'}]"
Kraken,,Kraken,kraken,,"{'length': 270, 'beam': 104, 'height': 64}",,,3792,,,"{'min': None, 'max': 10}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,"['Multi-Role', 'Light Carrier']",industrial,"The Kraken is a protector and a beacon of freedom in a too-often cruel universe. For those tasked with safekeeping Citizens unable to protect themselves, the Kraken is both a sanctuary and a self-contained war machine ready to take on the most daunting adversaries. Drake has thrown out the rule book to redefine private-use capital-class ships, attack carriers, and the very nature of personal freedom. It's nothing if not a testament to the empowerment of the people.",,"{'code': 'DRAK', 'name': 'Drake Interplanetary'}",,,2024-11-28T15:20:39.000000Z,,170,69,in-concept,None,capital,,,"[{'name': 'C2 Hercules', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/7533ff77-836c-4bd2-9171-487d9c63863c', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Caterpillar', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/dc39ca6b-1d76-4db5-9346-356f49954978', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Buccaneer', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/efec4d48-77ab-4cba-9add-a3d96c5be8d8', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Polaris', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/565ffdd6-8122-4c24-a690-85aa5aade0ff', 'version': '4.1.1-LIVE.9768350'}]",[]
Kraken Privateer,,Kraken Privateer,kraken-privateer,,"{'length': 270, 'beam': 104, 'height': 64}",,,768,,,"{'min': None, 'max': 10}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,"['Multi-Role', 'Light Carrier']",industrial,"The Kraken is a protector and a beacon of freedom in a too-often cruel universe. For those tasked with safekeeping Citizens unable to protect themselves, the Kraken is both a sanctuary and a self-contained war machine ready to take on the most daunting adversaries. Drake has thrown out the rule book to redefine private-use capital-class ships, attack carriers, and the very nature of personal freedom. It's nothing if not a testament to the empowerment of the people.",,"{'code': 'DRAK', 'name': 'Drake Interplanetary'}",,,2024-11-28T15:20:26.000000Z,,175,69,in-concept,None,capital,2000,,"[{'name': 'C2 Hercules', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/7533ff77-836c-4bd2-9171-487d9c63863c', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Caterpillar', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/dc39ca6b-1d76-4db5-9346-356f49954978', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Buccaneer', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/efec4d48-77ab-4cba-9add-a3d96c5be8d8', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Polaris', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/565ffdd6-8122-4c24-a690-85aa5aade0ff', 'version': '4.1.1-LIVE.9768350'}]",[]
Legionnaire,,Legionnaire,legionnaire,,"{'length': 32, 'beam': 24, 'height': 13}",,,0,,,"{'min': 1, 'max': 2}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Boarding'],combat,"The Anvil Legionnaire presents the civilian market with a military style boarding vessel capable of occupying ships of varying sizes, crews, and capacities. High-performance jump seats safely transport a boarding party of up to ten into the action, while integrated systems let your copilot bypass security protocols on the target vessel, mitigating risk like never before.",,"{'code': 'ANVL', 'name': 'Anvil Aerospace'}",,,2024-07-23T15:46:54.000000Z,,232,97,in-concept,None,small,120,https://robertsspaceindustries.com/pledge/ships/legionnaire/Legionnaire,"[{'name': 'Vanguard Hoplite', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/f80d39f3-50fc-4fca-ada1-76de4c237e3f', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Standard Edition', 'price': 120, 'available': 1, 'imported_at': '2024-01-10T23:01:00.000000Z'}]"
Liberator,,Liberator,liberator,,"{'length': 119, 'beam': 67, 'height': 25}",,,400,,,"{'min': 1, 'max': 2}",,,"{'scm': 115, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Light Carrier'],transport,"Anvil continues its tradition of excellence with the Liberator, an open-air vehicle carrier that applies the tradition of long-range transport to a smaller scale. Designed with the same quantum drive and long-distance capabilities of military-spec carriers and pathfinders but tailored to the civilian market, the Liberator puts your fleet on the front lines of any operation.",,"{'code': 'ANVL', 'name': 'Anvil Aerospace'}",,,2024-07-23T19:20:08.000000Z,,224,91,in-concept,None,large,575,https://robertsspaceindustries.com/pledge/ships/liberator/Liberator,[],"[{'title': 'Standard Edition', 'price': 575, 'available': 1, 'imported_at': '2024-01-10T23:01:00.000000Z'}]"
Lynx,4c034eef-329c-4336-850e-49bfb1f06a15,Lynx,lynx,RSI_Lynx,"{'length': 7.75, 'beam': 5.7, 'height': 3.5}","{'ir': 1185, 'em_idle': 1416, 'em_max': 13640}",0,0,2.46,0.25,"{'min': 2, 'max': None, 'weapon': 1, 'operation': None}",0,545,"{'scm': None, 'max': 30, 'zero_to_scm': 0, 'zero_to_max': 3.33, 'scm_to_zero': 0, 'max_to_zero': 2.5, 'reverse': 12}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 0, 'maneuvering': 0, 'retro': 0, 'vtol': 0}}",,"{'pitch': None, 'yaw': None, 'roll': None, 'v0_steer_max': 25, 'kv_steer_max': 6, 'vmax_steer_max': 12, 'deceleration': {'main': 12}, 'acceleration': {'main': 9, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.96, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}","['Luxury Transport', 'Explorer']",ground,"Tour the wildest corners of the ‘verse in safety, comfort, and style in the Lynx Rover from RSI. It’s a jungle out there, but with the Lynx you’ll have the comforts of home anywhere you roam.",3,"{'name': 'Roberts Space Industries', 'code': 'RSI'}","{'claim_time': 2.7, 'expedite_time': 0.899, 'expedite_cost': 1080}",[],2025-02-21T06:57:49.000000Z,4.1.0-LIVE.9650658,245,54,flight-ready,None,vehicle,60,https://robertsspaceindustries.com/pledge/ships/ursa/Lynx,"[{'name': 'Aurora MR', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/c596f592-1196-4378-8583-18ff13962b85', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Standard Edition', 'price': 60, 'available': 1, 'imported_at': '2024-01-09T23:01:00.000000Z'}]"
M2 Hercules,,M2 Hercules,m2-hercules,,"{'length': 70, 'beam': 94, 'height': 23}",,3139240,468,,,"{'min': 1, 'max': 3}",,,"{'scm': 160, 'max': 950}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Military Transport'],combat,"The M2 Hercules is the UEE's premier tactical starlifter. The ship's potent combination of capacity, maneuverability, and durability make it the obvious choice in large-scale transport, and a robust weapons package assures your cargo, and crew, gets to where they’re going in one piece.",,"{'code': 'CRUS', 'name': 'Crusader Industries'}",,,2025-05-13T16:06:47.000000Z,,163,64,flight-ready,None,large,520,https://robertsspaceindustries.com/pledge/ships/crusader-starlifter/M2-Hercules,[],"[{'title': 'Warbond Edition', 'price': 480, 'available': 1, 'imported_at': '2024-01-07T12:54:04.000000Z'}, {'title': 'Standard Edition', 'price': 520, 'available': 1, 'imported_at': '2024-01-08T23:00:49.000000Z'}, {'title': 'Warbond Edition', 'price': 485, 'available': 1, 'imported_at': '2024-06-14T22:00:31.000000Z'}, {'title': 'Warbond Edition', 'price': 485, 'available': 1, 'imported_at': '2024-11-22T23:00:57.000000Z'}]"
M50,1b57cdac-693b-410b-8343-68fa194c94ae,M50,m50,ORIG_m50,"{'length': 11.5, 'beam': 11, 'height': 3.5}","{'ir': 6026, 'em_idle': 2483, 'em_max': 15733}",0,0,0.43,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,2240,"{'scm': 280, 'max': 1450, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 19, 'maneuvering': 7, 'retro': 4, 'vtol': 0}}","{'quantum_speed': 140000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 55, 'yaw': 55, 'roll': 200, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.48, 'damage_energy': 1, 'damage_distortion': 1, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Racing'],competition,"If you want to get from point A to point B as quickly as possible and with as much style as possible then ORIGIN's M50 is for you. Featuring supercharged engines that counter a tiny weapons loadout, the M50 goes extremely fast and looks incredibly good doing it. As Origin’s premier racing chassis, you shouldn’t expect anything less.",1,"{'name': 'Origin Jumpworks', 'code': 'ORIG'}","{'claim_time': 6.074, 'expedite_time': 2.025, 'expedite_cost': 3040}",[],2025-02-21T06:56:56.000000Z,4.1.0-LIVE.9650658,22,9,flight-ready,None,small,100,https://robertsspaceindustries.com/pledge/ships/origin-m50/M50,[],"[{'title': 'Standard Edition', 'price': 100, 'available': 1, 'imported_at': '2024-01-09T23:00:57.000000Z'}]"
Mantis,43f4f9c3-70ad-4549-8a10-0045afbbda10,Mantis,mantis,RSI_Mantis,"{'length': 30, 'beam': 17, 'height': 7.5}","{'ir': 7075, 'em_idle': 9276, 'em_max': 27958}",0,0,0.71,0,"{'min': 1, 'max': None, 'weapon': 0, 'operation': None}",0,3460,"{'scm': 236, 'max': 1393, 'zero_to_scm': 0, 'zero_to_max': 0, 'scm_to_zero': 0, 'max_to_zero': 0}","{'capacity': 0, 'intake_rate': 0, 'usage': {'main': 420, 'maneuvering': 254, 'retro': 99, 'vtol': 0}}","{'quantum_speed': 190000000, 'quantum_spool_time': 4, 'quantum_fuel_capacity': 0, 'quantum_range': 0}","{'pitch': 50, 'yaw': 42, 'roll': 160, 'acceleration': {'main': 0, 'retro': 0, 'vtol': 0, 'maneuvering': 0, 'main_g': 0, 'retro_g': 0, 'vtol_g': 0, 'maneuvering_g': 0}}","{'signal_infrared': 1, 'signal_electromagnetic': 1, 'signal_cross_section': 1, 'damage_physical': 0.5, 'damage_energy': 0.9500000000000001, 'damage_distortion': 0.9500000000000001, 'damage_thermal': 1, 'damage_biochemical': 1, 'damage_stun': 0}",['Interdictor'],combat,"Stop ships dead in their tracks with RSI’s premier Quantum Enforcement ship. The Mantis features a tailor-made Quantum Enforcement Device from Wei-Tek, capable of ripping ships out of QT with its Quantum Snare and preventing hasty escapes with its Quantum Dampener.",2,"{'name': 'Roberts Space Industries', 'code': 'RSI'}","{'claim_time': 6.48, 'expedite_time': 2.16, 'expedite_cost': 3374}",[],2025-02-21T06:57:22.000000Z,4.1.0-LIVE.9650658,189,77,flight-ready,None,small,150,https://robertsspaceindustries.com/pledge/ships/rsi-mantis/Mantis,"[{'name': 'Aurora LN', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/984283ce-dd5f-4807-a7b0-f6fbf053716c', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Standard Edition', 'price': 150, 'available': 1, 'imported_at': '2024-01-07T12:54:05.000000Z'}, {'title': 'Warbond Edition', 'price': 140, 'available': 1, 'imported_at': '2024-02-23T23:00:54.000000Z'}]"
Merchantman,,Merchantman,merchantman,,"{'length': 160, 'beam': 160, 'height': 65}",,9635000,2880,,,"{'min': 4, 'max': 8}",,,"{'scm': None, 'max': None}",,,"{'pitch': None, 'yaw': None, 'roll': None, 'acceleration': {'x_axis': None, 'y_axis': None, 'z_axis': None}}",,['Heavy Freight'],transport,"Banu traders are renowned for their merchant prowess, traveling the spacelanes and trading with everyone from humans to the Vanduul! Their sturdy, dedicated trading ships are prized beyond all other transports, sometimes passing from generation to generation of Banu.",,"{'code': 'BANU', 'name': 'Banu'}",,,2024-10-29T16:00:07.000000Z,,36,20,in-concept,Hull concept complete,large,650,https://robertsspaceindustries.com/pledge/ships/merchantman/Merchantman,"[{'name': 'Defender', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/081236f5-9549-4a60-9123-6ae21f0cd261', 'version': '4.1.1-LIVE.9768350'}, {'name': 'C2 Hercules', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/7533ff77-836c-4bd2-9171-487d9c63863c', 'version': '4.1.1-LIVE.9768350'}, {'name': 'Hull C', 'link': 'https://api.star-citizen.wiki/api/v2/vehicles/c4ceff45-d851-44b1-921b-bfef93a6cd6a', 'version': '4.1.1-LIVE.9768350'}]","[{'title': 'Standard Edition', 'price': 450, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 350, 'available': 1, 'imported_at': '2024-01-07T12:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 600, 'available': 1, 'imported_at': '2024-01-09T23:00:57.000000Z'}, {'title': 'Standard Edition', 'price': 650, 'available': 1, 'imported_at': '2024-01-09T23:00:57.000000Z'}, {'title': 'Warbond Edition', 'price': 600, 'available': 1, 'imported_at': '2024-06-12T22:00:29.000000Z'}, {'title': 'Warbond Edition', 'price': 600, 'available': 1, 'imported_at': '2024-11-25T23:00:56.000000Z'}]"
