start_ship                , end_ship                  , total_distance    , path
Blade                     , Mustang Gamma             , 3.5               , Blade                       -> Mustang Gamma
Blade                     , Mustang Omega             , 3.5               , Blade                       -> Mustang Omega
Blade                     , Nautilus                  , 4.75              , Blade                       -> Nautilus
Blade                     , Nomad                     , 3.5               , Blade                       -> Nomad
Blade                     , Nova                      , 4.833333333333333 , Blade                       -> Nova
Blade                     , Nox                       , 3.5               , Blade                       -> Nox
Blade                     , Odyssey                   , 4.0               , Blade                       -> Odyssey
Blade                     , Orion                     , 5.714285714285714 , Blade                       -> Orion
Blade                     , P-52 Merlin               , 2.5               , Blade                       -> P-52 Merlin
Blade                     , P-72 Archimedes           , 3.5               , Blade                       -> P-72 Archimedes
Blade                     , Paladin                   , 4.5               , Blade                       -> Paladin
Blade                     , Perseus                   , 4.666666666666667 , Blade                       -> Perseus
Blade                     , Pioneer                   , 5.75              , Blade                       -> Pioneer
Blade                     , Polaris                   , 4.333333333333333 , Blade                       -> Polaris
Blade                     , Prospector                , 3.5               , Blade                       -> Prospector
Blade                     , Prowler                   , 2.0               , Blade                       -> Prowler
Blade                     , PTV                       , 4.5               , Blade                       -> PTV
Blade                     , Pulse                     , 3.5               , Blade                       -> Pulse
Blade                     , Pulse LX                  , 3.5               , Blade                       -> Pulse LX
Blade                     , RAFT                      , 4.5               , Blade                       -> RAFT
Blade                     , Railen                    , 5.5               , Blade                       -> Railen
Blade                     , Ranger CV                 , 4.0               , Blade                       -> Ranger CV
Blade                     , Ranger RC                 , 4.0               , Blade                       -> Ranger RC
Blade                     , Ranger TR                 , 4.0               , Blade                       -> Ranger TR
Blade                     , Razor                     , 3.5               , Blade                       -> Razor
Blade                     , Razor EX                  , 3.5               , Blade                       -> Razor EX
Blade                     , Razor LX                  , 3.5               , Blade                       -> Razor LX
Blade                     , Reclaimer                 , 5.1               , Blade                       -> Reclaimer
Blade                     , Redeemer                  , 4.0               , Blade                       -> Redeemer
Blade                     , Reliant Kore              , 4.5               , Blade                       -> Reliant Kore
Blade                     , Reliant Mako              , 4.5               , Blade                       -> Reliant Mako
Blade                     , Reliant Sen               , 4.5               , Blade                       -> Reliant Sen
Blade                     , Reliant Tana              , 2.5               , Blade                       -> Reliant Tana
Blade                     , Retaliator                , 4.214285714285714 , Blade                       -> Retaliator
Blade                     , ROC                       , 3.5               , Blade                       -> ROC
Blade                     , ROC-DS                    , 4.5               , Blade                       -> ROC-DS
Blade                     , Sabre                     , 2.5               , Blade                       -> Sabre
Blade                     , Sabre Firebird            , 2.5               , Blade                       -> Sabre Firebird
Blade                     , Sabre Peregrine           , 3.5               , Blade                       -> Sabre Peregrine
Blade                     , Sabre Raven               , 2.5               , Blade                       -> Sabre Raven
Blade                     , San'tok.yāi               , 2.5               , Blade                       -> San'tok.yāi
Blade                     , Scorpius                  , 3.5               , Blade                       -> Scorpius
Blade                     , Scorpius Antares          , 3.5               , Blade                       -> Scorpius Antares
Blade                     , Scythe                    , 2.5               , Blade                       -> Scythe
Blade                     , Spartan                   , 3.5               , Blade                       -> Spartan
Blade                     , SRV                       , 3.5               , Blade                       -> SRV
Blade                     , Starfarer                 , 5.214285714285714 , Blade                       -> Starfarer
Blade                     , Starfarer Gemini          , 5.166666666666667 , Blade                       -> Starfarer Gemini
Blade                     , Starlancer MAX            , 5.0               , Blade                       -> Starlancer MAX
Blade                     , Starlancer TAC            , 4.666666666666667 , Blade                       -> Starlancer TAC
Blade                     , Storm                     , 3.5               , Blade                       -> Storm
Blade                     , Storm AA                  , 3.5               , Blade                       -> Storm AA
Blade                     , STV                       , 4.5               , Blade                       -> STV
Blade                     , Talon                     , 0.0               , Blade                       -> Talon
Blade                     , Ursa                      , 4.833333333333333 , Blade                       -> Ursa
Blade                     , Talon Shrike              , 0.0               , Blade                       -> Talon Shrike
Blade                     , Terrapin                  , 3.5               , Blade                       -> Terrapin
Blade                     , Terrapin Medic            , 3.5               , Blade                       -> Terrapin Medic
Blade                     , Ursa Medivac              , 4.833333333333333 , Blade                       -> Ursa Medivac
Blade                     , Valkyrie                  , 4.1               , Blade                       -> Valkyrie
Blade                     , Vanguard Harbinger        , 3.5               , Blade                       -> Vanguard Harbinger
Blade                     , Vanguard Hoplite          , 3.5               , Blade                       -> Vanguard Hoplite
Blade                     , Vanguard Sentinel         , 3.5               , Blade                       -> Vanguard Sentinel
Blade                     , Vanguard Warden           , 3.5               , Blade                       -> Vanguard Warden
Blade                     , Vulcan                    , 5.333333333333333 , Blade                       -> Vulcan
Blade                     , Vulture                   , 3.5               , Blade                       -> Vulture
Blade                     , X1                        , 3.5               , Blade                       -> X1
Blade                     , X1 Force                  , 3.5               , Blade                       -> X1 Force
Blade                     , X1 Velocity               , 3.5               , Blade                       -> X1 Velocity
Blade                     , Zeus CL Mk II             , 4.833333333333333 , Blade                       -> Zeus CL Mk II
Blade                     , Zeus ES Mk II             , 4.833333333333333 , Blade                       -> Zeus ES Mk II
Blade                     , Zeus MR Mk II             , 4.333333333333333 , Blade                       -> Zeus MR Mk II
Buccaneer                 , C1 Spirit                 , 4.5               , Buccaneer                   -> C1 Spirit
Buccaneer                 , C2 Hercules               , 4.5               , Buccaneer                   -> C2 Hercules
Buccaneer                 , C8 Pisces                 , 4.833333333333333 , Buccaneer                   -> C8 Pisces
Buccaneer                 , C8R Pisces                , 4.5               , Buccaneer                   -> C8R Pisces
Buccaneer                 , C8X Pisces Expedition     , 4.833333333333333 , Buccaneer                   -> C8X Pisces Expedition
Buccaneer                 , Carrack                   , 5.166666666666667 , Buccaneer                   -> Carrack
Buccaneer                 , Caterpillar               , 3.5               , Buccaneer                   -> Caterpillar
Buccaneer                 , Centurion                 , 4.5               , Buccaneer                   -> Centurion
Buccaneer                 , Constellation Andromeda   , 5.0               , Buccaneer                   -> Constellation Andromeda
Buccaneer                 , Constellation Aquila      , 5.0               , Buccaneer                   -> Constellation Aquila
Buccaneer                 , Constellation Phoenix     , 5.0               , Buccaneer                   -> Constellation Phoenix
Buccaneer                 , Constellation Taurus      , 5.0               , Buccaneer                   -> Constellation Taurus
Buccaneer                 , Corsair                   , 3.5               , Buccaneer                   -> Corsair
Buccaneer                 , Crucible                  , 5.75              , Buccaneer                   -> Crucible
Buccaneer                 , CSV-SM                    , 3.5               , Buccaneer                   -> CSV-SM
Buccaneer                 , Cutlass Black             , 3.333333333333333 , Buccaneer                   -> Cutlass Black
Buccaneer                 , Cutlass Blue              , 1.3333333333333333, Buccaneer                   -> Cutlass Blue
Buccaneer                 , Cutlass Red               , 3.0               , Buccaneer                   -> Cutlass Red
Buccaneer                 , Cutlass Steel             , 2.333333333333333 , Buccaneer                   -> Cutlass Steel
Buccaneer                 , Cutter                    , 2.0               , Buccaneer                   -> Cutter
Buccaneer                 , Cutter Rambler            , 2.0               , Buccaneer                   -> Cutter Rambler
Buccaneer                 , Cutter Scout              , 2.0               , Buccaneer                   -> Cutter Scout
Buccaneer                 , Cyclone                   , 4.5               , Buccaneer                   -> Cyclone
Buccaneer                 , Cyclone AA                , 4.5               , Buccaneer                   -> Cyclone AA
Buccaneer                 , Cyclone MT                , 4.833333333333333 , Buccaneer                   -> Cyclone MT
Buccaneer                 , Cyclone RC                , 4.5               , Buccaneer                   -> Cyclone RC
Buccaneer                 , Cyclone RN                , 4.5               , Buccaneer                   -> Cyclone RN
Buccaneer                 , Cyclone TR                , 4.833333333333333 , Buccaneer                   -> Cyclone TR
Buccaneer                 , Defender                  , 3.5               , Buccaneer                   -> Defender
Buccaneer                 , Dragonfly                 , 3.0               , Buccaneer                   -> Dragonfly
Buccaneer                 , E1 Spirit                 , 5.0               , Buccaneer                   -> E1 Spirit
Buccaneer                 , Eclipse                   , 2.5               , Buccaneer                   -> Eclipse
Buccaneer                 , Endeavor                  , 5.6               , Buccaneer                   -> Endeavor
Buccaneer                 , Expanse                   , 4.0               , Buccaneer                   -> Expanse
Buccaneer                 , F7A Hornet Mk I           , 2.5               , Buccaneer                   -> F7A Hornet Mk I
Buccaneer                 , F7A Hornet Mk II          , 3.0               , Buccaneer                   -> F7A Hornet Mk II
Buccaneer                 , F7C Hornet Mk I           , 2.5               , Buccaneer                   -> F7C Hornet Mk I
Buccaneer                 , F7C Hornet Mk II          , 2.5               , Buccaneer                   -> F7C Hornet Mk II
Buccaneer                 , F7C-M Super Hornet        , 3.5               , Buccaneer                   -> F7C-M Super Hornet
Buccaneer                 , F7C-R Hornet Tracker      , 2.5               , Buccaneer                   -> F7C-R Hornet Tracker
Buccaneer                 , F7C-R Hornet Tracker Mk II, 2.5               , Buccaneer                   -> F7C-R Hornet Tracker Mk II
Buccaneer                 , F7C-S Hornet Ghost        , 2.5               , Buccaneer                   -> F7C-S Hornet Ghost
Buccaneer                 , F7C-S Hornet Ghost Mk II  , 2.5               , Buccaneer                   -> F7C-S Hornet Ghost Mk II
Buccaneer                 , F8C Lightning             , 2.5               , Buccaneer                   -> F8C Lightning
Buccaneer                 , Freelancer                , 5.0               , Buccaneer                   -> Freelancer
Buccaneer                 , Freelancer DUR            , 5.0               , Buccaneer                   -> Freelancer DUR
Buccaneer                 , Freelancer MAX            , 5.0               , Buccaneer                   -> Freelancer MAX
Buccaneer                 , Freelancer MIS            , 4.0               , Buccaneer                   -> Freelancer MIS
Buccaneer                 , Fury                      , 2.5               , Buccaneer                   -> Fury
Buccaneer                 , Fury LX                   , 3.5               , Buccaneer                   -> Fury LX
Buccaneer                 , Fury MX                   , 2.5               , Buccaneer                   -> Fury MX
Buccaneer                 , G12                       , 5.0               , Buccaneer                   -> G12
Buccaneer                 , G12a                      , 5.0               , Buccaneer                   -> G12a
Buccaneer                 , G12r                      , 5.0               , Buccaneer                   -> G12r
Buccaneer                 , Galaxy                    , 5.666666666666667 , Buccaneer                   -> Galaxy
Buccaneer                 , Genesis                   , 5.75              , Buccaneer                   -> Genesis
Buccaneer                 , Gladiator                 , 3.5               , Buccaneer                   -> Gladiator
Buccaneer                 , Gladius                   , 2.5               , Buccaneer                   -> Gladius
Buccaneer                 , Glaive                    , 2.5               , Buccaneer                   -> Glaive
Buccaneer                 , Guardian                  , 2.5               , Buccaneer                   -> Guardian
Buccaneer                 , Guardian QI               , 2.5               , Buccaneer                   -> Guardian QI
Buccaneer                 , Hammerhead                , 4.277777777777778 , Buccaneer                   -> Hammerhead
Buccaneer                 , Hawk                      , 2.5               , Buccaneer                   -> Hawk
Buccaneer                 , Herald                    , 2.0               , Buccaneer                   -> Herald
Buccaneer                 , HoverQuad                 , 3.5               , Buccaneer                   -> HoverQuad
Buccaneer                 , Hull A                    , 3.5               , Buccaneer                   -> Hull A
Buccaneer                 , Hull B                    , 4.0               , Buccaneer                   -> Hull B
Buccaneer                 , Hull C                    , 5.0               , Buccaneer                   -> Hull C
Buccaneer                 , Hull D                    , 5.6               , Buccaneer                   -> Hull D
Buccaneer                 , Hull E                    , 5.6               , Buccaneer                   -> Hull E
Buccaneer                 , Hurricane                 , 3.5               , Buccaneer                   -> Hurricane
Buccaneer                 , Idris-M                   , 4.928571428571429 , Buccaneer                   -> Idris-M
Buccaneer                 , Idris-P                   , 4.928571428571429 , Buccaneer                   -> Idris-P
Buccaneer                 , Intrepid                  , 3.5               , Buccaneer                   -> Intrepid
Buccaneer                 , Ironclad                  , 4.166666666666667 , Buccaneer                   -> Ironclad
Buccaneer                 , Ironclad Assault          , 3.166666666666667 , Buccaneer                   -> Ironclad Assault
Buccaneer                 , Javelin                   , 4.975             , Buccaneer                   -> Javelin
Buccaneer                 , Khartu-Al                 , 2.5               , Buccaneer                   -> Khartu-Al
Buccaneer                 , Kraken                    , 4.3               , Buccaneer                   -> Kraken
Buccaneer                 , Kraken Privateer          , 4.3               , Buccaneer                   -> Kraken Privateer
Buccaneer                 , Legionnaire               , 4.0               , Buccaneer                   -> Legionnaire
Buccaneer                 , Liberator                 , 5.0               , Buccaneer                   -> Liberator
Buccaneer                 , Lynx                      , 4.5               , Buccaneer                   -> Lynx
Buccaneer                 , M2 Hercules               , 3.833333333333333 , Buccaneer                   -> M2 Hercules
Buccaneer                 , M50                       , 3.5               , Buccaneer                   -> M50
Buccaneer                 , Mantis                    , 2.5               , Buccaneer                   -> Mantis
Buccaneer                 , Merchantman               , 5.75              , Buccaneer                   -> Merchantman
Buccaneer                 , Mercury                   , 4.833333333333333 , Buccaneer                   -> Mercury
Buccaneer                 , MOLE                      , 5.0               , Buccaneer                   -> MOLE
Buccaneer                 , MPUV Cargo                , 3.5               , Buccaneer                   -> MPUV Cargo
Buccaneer                 , MPUV Personnel            , 3.5               , Buccaneer                   -> MPUV Personnel
Buccaneer                 , MPUV Tractor              , 3.5               , Buccaneer                   -> MPUV Tractor
Buccaneer                 , Mule                      , 2.0               , Buccaneer                   -> Mule
Buccaneer                 , Mustang Alpha             , 3.5               , Buccaneer                   -> Mustang Alpha
Buccaneer                 , Mustang Beta              , 3.5               , Buccaneer                   -> Mustang Beta
Buccaneer                 , Mustang Delta             , 2.5               , Buccaneer                   -> Mustang Delta
Buccaneer                 , Mustang Gamma             , 3.5               , Buccaneer                   -> Mustang Gamma
Buccaneer                 , Mustang Omega             , 3.5               , Buccaneer                   -> Mustang Omega
Buccaneer                 , Nautilus                  , 4.75              , Buccaneer                   -> Nautilus
Buccaneer                 , Nomad                     , 3.5               , Buccaneer                   -> Nomad
Buccaneer                 , Nova                      , 4.833333333333333 , Buccaneer                   -> Nova
Buccaneer                 , Nox                       , 3.5               , Buccaneer                   -> Nox
Buccaneer                 , Odyssey                   , 4.0               , Buccaneer                   -> Odyssey
Buccaneer                 , Orion                     , 5.714285714285714 , Buccaneer                   -> Orion
Buccaneer                 , P-52 Merlin               , 2.5               , Buccaneer                   -> P-52 Merlin
Buccaneer                 , P-72 Archimedes           , 3.5               , Buccaneer                   -> P-72 Archimedes
Buccaneer                 , Paladin                   , 4.5               , Buccaneer                   -> Paladin
Buccaneer                 , Perseus                   , 4.666666666666667 , Buccaneer                   -> Perseus
Buccaneer                 , Pioneer                   , 5.75              , Buccaneer                   -> Pioneer
Buccaneer                 , Polaris                   , 4.333333333333333 , Buccaneer                   -> Polaris
Buccaneer                 , Prospector                , 3.5               , Buccaneer                   -> Prospector
Buccaneer                 , Prowler                   , 3.5               , Buccaneer                   -> Prowler
Buccaneer                 , PTV                       , 4.5               , Buccaneer                   -> PTV
Buccaneer                 , Pulse                     , 3.5               , Buccaneer                   -> Pulse
Buccaneer                 , Pulse LX                  , 3.5               , Buccaneer                   -> Pulse LX
Buccaneer                 , RAFT                      , 4.5               , Buccaneer                   -> RAFT
Buccaneer                 , Railen                    , 5.5               , Buccaneer                   -> Railen
Buccaneer                 , Ranger CV                 , 4.0               , Buccaneer                   -> Ranger CV
Buccaneer                 , Ranger RC                 , 4.0               , Buccaneer                   -> Ranger RC
Buccaneer                 , Ranger TR                 , 4.0               , Buccaneer                   -> Ranger TR
Buccaneer                 , Razor                     , 3.5               , Buccaneer                   -> Razor
Buccaneer                 , Razor EX                  , 3.5               , Buccaneer                   -> Razor EX
Buccaneer                 , Razor LX                  , 3.5               , Buccaneer                   -> Razor LX
Buccaneer                 , Reclaimer                 , 5.1               , Buccaneer                   -> Reclaimer
Buccaneer                 , Redeemer                  , 4.0               , Buccaneer                   -> Redeemer
Buccaneer                 , Reliant Kore              , 4.5               , Buccaneer                   -> Reliant Kore
Buccaneer                 , Reliant Mako              , 4.5               , Buccaneer                   -> Reliant Mako
Buccaneer                 , Reliant Sen               , 4.5               , Buccaneer                   -> Reliant Sen
Buccaneer                 , Reliant Tana              , 3.5               , Buccaneer                   -> Reliant Tana
Buccaneer                 , Retaliator                , 4.214285714285714 , Buccaneer                   -> Retaliator
Buccaneer                 , ROC                       , 3.5               , Buccaneer                   -> ROC
Buccaneer                 , ROC-DS                    , 4.5               , Buccaneer                   -> ROC-DS
Buccaneer                 , Sabre                     , 2.5               , Buccaneer                   -> Sabre
Buccaneer                 , Sabre Firebird            , 2.5               , Buccaneer                   -> Sabre Firebird
Buccaneer                 , Sabre Peregrine           , 3.5               , Buccaneer                   -> Sabre Peregrine
Buccaneer                 , Sabre Raven               , 1.5               , Buccaneer                   -> Sabre Raven
Buccaneer                 , San'tok.yāi               , 2.5               , Buccaneer                   -> San'tok.yāi
Buccaneer                 , Scorpius                  , 3.5               , Buccaneer                   -> Scorpius
Buccaneer                 , Scorpius Antares          , 3.5               , Buccaneer                   -> Scorpius Antares
Buccaneer                 , Scythe                    , 2.5               , Buccaneer                   -> Scythe
Buccaneer                 , Spartan                   , 3.5               , Buccaneer                   -> Spartan
Buccaneer                 , SRV                       , 3.5               , Buccaneer                   -> SRV
Buccaneer                 , Starfarer                 , 5.214285714285714 , Buccaneer                   -> Starfarer
Buccaneer                 , Starfarer Gemini          , 5.166666666666667 , Buccaneer                   -> Starfarer Gemini
Buccaneer                 , Starlancer MAX            , 5.0               , Buccaneer                   -> Starlancer MAX
Buccaneer                 , Starlancer TAC            , 4.666666666666667 , Buccaneer                   -> Starlancer TAC
Buccaneer                 , Storm                     , 3.5               , Buccaneer                   -> Storm
Buccaneer                 , Storm AA                  , 3.5               , Buccaneer                   -> Storm AA
Buccaneer                 , STV                       , 4.5               , Buccaneer                   -> STV
Buccaneer                 , Talon                     , 2.5               , Buccaneer                   -> Talon
Buccaneer                 , Ursa                      , 4.833333333333333 , Buccaneer                   -> Ursa
Buccaneer                 , Talon Shrike              , 2.5               , Buccaneer                   -> Talon Shrike
Buccaneer                 , Terrapin                  , 3.5               , Buccaneer                   -> Terrapin
Buccaneer                 , Terrapin Medic            , 3.5               , Buccaneer                   -> Terrapin Medic
Buccaneer                 , Ursa Medivac              , 4.833333333333333 , Buccaneer                   -> Ursa Medivac
Buccaneer                 , Valkyrie                  , 4.1               , Buccaneer                   -> Valkyrie
Buccaneer                 , Vanguard Harbinger        , 3.5               , Buccaneer                   -> Vanguard Harbinger
Buccaneer                 , Vanguard Hoplite          , 3.5               , Buccaneer                   -> Vanguard Hoplite
Buccaneer                 , Vanguard Sentinel         , 2.5               , Buccaneer                   -> Vanguard Sentinel
Buccaneer                 , Vanguard Warden           , 3.5               , Buccaneer                   -> Vanguard Warden
Buccaneer                 , Vulcan                    , 5.333333333333333 , Buccaneer                   -> Vulcan
Buccaneer                 , Vulture                   , 2.0               , Buccaneer                   -> Vulture
Buccaneer                 , X1                        , 3.5               , Buccaneer                   -> X1
Buccaneer                 , X1 Force                  , 3.5               , Buccaneer                   -> X1 Force
Buccaneer                 , X1 Velocity               , 3.5               , Buccaneer                   -> X1 Velocity
Buccaneer                 , Zeus CL Mk II             , 4.833333333333333 , Buccaneer                   -> Zeus CL Mk II
Buccaneer                 , Zeus ES Mk II             , 4.833333333333333 , Buccaneer                   -> Zeus ES Mk II
Buccaneer                 , Zeus MR Mk II             , 3.333333333333333 , Buccaneer                   -> Zeus MR Mk II
C1 Spirit                 , C2 Hercules               , 1.0               , C1 Spirit                   -> C2 Hercules
C1 Spirit                 , C8 Pisces                 , 4.166666666666666 , C1 Spirit                   -> C8 Pisces
C1 Spirit                 , C8R Pisces                , 3.5               , C1 Spirit                   -> C8R Pisces
C1 Spirit                 , C8X Pisces Expedition     , 4.166666666666666 , C1 Spirit                   -> C8X Pisces Expedition
C1 Spirit                 , Carrack                   , 4.833333333333333 , C1 Spirit                   -> Carrack
C1 Spirit                 , Caterpillar               , 3.5               , C1 Spirit                   -> Caterpillar
C1 Spirit                 , Centurion                 , 3.5               , C1 Spirit                   -> Centurion
C1 Spirit                 , Constellation Andromeda   , 4.5               , C1 Spirit                   -> Constellation Andromeda
C1 Spirit                 , Constellation Aquila      , 4.5               , C1 Spirit                   -> Constellation Aquila
C1 Spirit                 , Constellation Phoenix     , 4.5               , C1 Spirit                   -> Constellation Phoenix
C1 Spirit                 , Constellation Taurus      , 2.5               , C1 Spirit                   -> Constellation Taurus
C1 Spirit                 , Corsair                   , 4.5               , C1 Spirit                   -> Corsair
C1 Spirit                 , Crucible                  , 5.5               , C1 Spirit                   -> Crucible
C1 Spirit                 , CSV-SM                    , 4.5               , C1 Spirit                   -> CSV-SM
C1 Spirit                 , Cutlass Black             , 3.1666666666666665, C1 Spirit                   -> Cutlass Black
C1 Spirit                 , Cutlass Blue              , 4.166666666666666 , C1 Spirit                   -> Cutlass Blue
C1 Spirit                 , Cutlass Red               , 3.5               , C1 Spirit                   -> Cutlass Red
C1 Spirit                 , Cutlass Steel             , 4.166666666666666 , C1 Spirit                   -> Cutlass Steel
C1 Spirit                 , Cutter                    , 3.5               , C1 Spirit                   -> Cutter
C1 Spirit                 , Cutter Rambler            , 4.5               , C1 Spirit                   -> Cutter Rambler
C1 Spirit                 , Cutter Scout              , 4.5               , C1 Spirit                   -> Cutter Scout
C1 Spirit                 , Cyclone                   , 3.5               , C1 Spirit                   -> Cyclone
C1 Spirit                 , Cyclone AA                , 3.5               , C1 Spirit                   -> Cyclone AA
C1 Spirit                 , Cyclone MT                , 4.166666666666666 , C1 Spirit                   -> Cyclone MT
C1 Spirit                 , Cyclone RC                , 3.5               , C1 Spirit                   -> Cyclone RC
C1 Spirit                 , Cyclone RN                , 3.5               , C1 Spirit                   -> Cyclone RN
C1 Spirit                 , Cyclone TR                , 4.166666666666666 , C1 Spirit                   -> Cyclone TR
C1 Spirit                 , Defender                  , 3.5               , C1 Spirit                   -> Defender
C1 Spirit                 , Dragonfly                 , 3.5               , C1 Spirit                   -> Dragonfly
C1 Spirit                 , E1 Spirit                 , 1.5               , C1 Spirit                   -> E1 Spirit
C1 Spirit                 , Eclipse                   , 4.5               , C1 Spirit                   -> Eclipse
C1 Spirit                 , Endeavor                  , 5.2               , C1 Spirit                   -> Endeavor
C1 Spirit                 , Expanse                   , 5.0               , C1 Spirit                   -> Expanse
C1 Spirit                 , F7A Hornet Mk I           , 4.5               , C1 Spirit                   -> F7A Hornet Mk I
C1 Spirit                 , F7A Hornet Mk II          , 5.0               , C1 Spirit                   -> F7A Hornet Mk II
C1 Spirit                 , F7C Hornet Mk I           , 4.5               , C1 Spirit                   -> F7C Hornet Mk I
C1 Spirit                 , F7C Hornet Mk II          , 4.5               , C1 Spirit                   -> F7C Hornet Mk II
C1 Spirit                 , F7C-M Super Hornet        , 3.5               , C1 Spirit                   -> F7C-M Super Hornet
C1 Spirit                 , F7C-R Hornet Tracker      , 4.5               , C1 Spirit                   -> F7C-R Hornet Tracker
C1 Spirit                 , F7C-R Hornet Tracker Mk II, 4.5               , C1 Spirit                   -> F7C-R Hornet Tracker Mk II
C1 Spirit                 , F7C-S Hornet Ghost        , 4.5               , C1 Spirit                   -> F7C-S Hornet Ghost
C1 Spirit                 , F7C-S Hornet Ghost Mk II  , 4.5               , C1 Spirit                   -> F7C-S Hornet Ghost Mk II
C1 Spirit                 , F8C Lightning             , 4.5               , C1 Spirit                   -> F8C Lightning
C1 Spirit                 , Freelancer                , 2.5               , C1 Spirit                   -> Freelancer
C1 Spirit                 , Freelancer DUR            , 4.5               , C1 Spirit                   -> Freelancer DUR
C1 Spirit                 , Freelancer MAX            , 2.5               , C1 Spirit                   -> Freelancer MAX
C1 Spirit                 , Freelancer MIS            , 4.5               , C1 Spirit                   -> Freelancer MIS
C1 Spirit                 , Fury                      , 4.5               , C1 Spirit                   -> Fury
C1 Spirit                 , Fury LX                   , 4.5               , C1 Spirit                   -> Fury LX
C1 Spirit                 , Fury MX                   , 4.5               , C1 Spirit                   -> Fury MX
C1 Spirit                 , G12                       , 4.0               , C1 Spirit                   -> G12
C1 Spirit                 , G12a                      , 4.0               , C1 Spirit                   -> G12a
C1 Spirit                 , G12r                      , 4.0               , C1 Spirit                   -> G12r
C1 Spirit                 , Galaxy                    , 5.333333333333333 , C1 Spirit                   -> Galaxy
C1 Spirit                 , Genesis                   , 3.0               , C1 Spirit                   -> Genesis
C1 Spirit                 , Gladiator                 , 3.5               , C1 Spirit                   -> Gladiator
C1 Spirit                 , Gladius                   , 4.5               , C1 Spirit                   -> Gladius
C1 Spirit                 , Glaive                    , 4.5               , C1 Spirit                   -> Glaive
C1 Spirit                 , Guardian                  , 4.5               , C1 Spirit                   -> Guardian
C1 Spirit                 , Guardian QI               , 4.5               , C1 Spirit                   -> Guardian QI
C1 Spirit                 , Hammerhead                , 5.055555555555555 , C1 Spirit                   -> Hammerhead
C1 Spirit                 , Hawk                      , 4.5               , C1 Spirit                   -> Hawk
C1 Spirit                 , Herald                    , 3.5               , C1 Spirit                   -> Herald
C1 Spirit                 , HoverQuad                 , 4.5               , C1 Spirit                   -> HoverQuad
C1 Spirit                 , Hull A                    , 3.5               , C1 Spirit                   -> Hull A
C1 Spirit                 , Hull B                    , 4.0               , C1 Spirit                   -> Hull B
C1 Spirit                 , Hull C                    , 3.5               , C1 Spirit                   -> Hull C
C1 Spirit                 , Hull D                    , 4.2               , C1 Spirit                   -> Hull D
C1 Spirit                 , Hull E                    , 4.2               , C1 Spirit                   -> Hull E
C1 Spirit                 , Hurricane                 , 3.5               , C1 Spirit                   -> Hurricane
C1 Spirit                 , Idris-M                   , 5.857142857142858 , C1 Spirit                   -> Idris-M
C1 Spirit                 , Idris-P                   , 5.857142857142858 , C1 Spirit                   -> Idris-P
C1 Spirit                 , Intrepid                  , 2.0               , C1 Spirit                   -> Intrepid
C1 Spirit                 , Ironclad                  , 4.333333333333333 , C1 Spirit                   -> Ironclad
C1 Spirit                 , Ironclad Assault          , 5.333333333333333 , C1 Spirit                   -> Ironclad Assault
C1 Spirit                 , Javelin                   , 5.95              , C1 Spirit                   -> Javelin
C1 Spirit                 , Khartu-Al                 , 4.5               , C1 Spirit                   -> Khartu-Al
C1 Spirit                 , Kraken                    , 5.6               , C1 Spirit                   -> Kraken
C1 Spirit                 , Kraken Privateer          , 5.6               , C1 Spirit                   -> Kraken Privateer
C1 Spirit                 , Legionnaire               , 4.0               , C1 Spirit                   -> Legionnaire
C1 Spirit                 , Liberator                 , 3.0               , C1 Spirit                   -> Liberator
C1 Spirit                 , Lynx                      , 3.5               , C1 Spirit                   -> Lynx
C1 Spirit                 , M2 Hercules               , 2.6666666666666665, C1 Spirit                   -> M2 Hercules
C1 Spirit                 , M50                       , 4.5               , C1 Spirit                   -> M50
C1 Spirit                 , Mantis                    , 4.5               , C1 Spirit                   -> Mantis
C1 Spirit                 , Merchantman               , 4.5               , C1 Spirit                   -> Merchantman
C1 Spirit                 , Mercury                   , 1.6666666666666665, C1 Spirit                   -> Mercury
C1 Spirit                 , MOLE                      , 4.5               , C1 Spirit                   -> MOLE
C1 Spirit                 , MPUV Cargo                , 3.5               , C1 Spirit                   -> MPUV Cargo
C1 Spirit                 , MPUV Personnel            , 3.5               , C1 Spirit                   -> MPUV Personnel
C1 Spirit                 , MPUV Tractor              , 3.5               , C1 Spirit                   -> MPUV Tractor
C1 Spirit                 , Mule                      , 4.5               , C1 Spirit                   -> Mule
C1 Spirit                 , Mustang Alpha             , 4.5               , C1 Spirit                   -> Mustang Alpha
C1 Spirit                 , Mustang Beta              , 4.5               , C1 Spirit                   -> Mustang Beta
C1 Spirit                 , Mustang Delta             , 4.5               , C1 Spirit                   -> Mustang Delta
C1 Spirit                 , Mustang Gamma             , 4.5               , C1 Spirit                   -> Mustang Gamma
C1 Spirit                 , Mustang Omega             , 4.5               , C1 Spirit                   -> Mustang Omega
C1 Spirit                 , Nautilus                  , 5.5               , C1 Spirit                   -> Nautilus
C1 Spirit                 , Nomad                     , 4.5               , C1 Spirit                   -> Nomad
C1 Spirit                 , Nova                      , 4.166666666666666 , C1 Spirit                   -> Nova
C1 Spirit                 , Nox                       , 4.5               , C1 Spirit                   -> Nox
C1 Spirit                 , Odyssey                   , 5.0               , C1 Spirit                   -> Odyssey
C1 Spirit                 , Orion                     , 5.428571428571429 , C1 Spirit                   -> Orion
