vaisseau_depart,vaisseau_arrivee,poids
Defender                  ,Fury LX                   ,3
Defender                  ,Fury MX                   ,2
Defender                  ,G12                       ,4
Defender                  ,G12a                      ,4
Defender                  ,G12r                      ,4
Defender                  ,Galaxy                    ,4
Defender                  ,Genesis                   ,4
Defender                  ,Gladiator                 ,2
Defender                  ,Gladius                   ,1
Defender                  ,Glaive                    ,2
Defender                  ,Guardian                  ,2
Defender                  ,Guardian QI               ,2
Defender                  ,Hammerhead                ,2
Defender                  ,Hawk                      ,1
Defender                  ,Herald                    ,3
Defender                  ,HoverQuad                 ,3
Defender                  ,Hull A                    ,3
Defender                  ,Hull B                    ,4
Defender                  ,Hull C                    ,3
Defender                  ,Hull D                    ,4
Defender                  ,Hull E                    ,4
Defender                  ,Hurricane                 ,2
Defender                  ,Idris-M                   ,3
Defender                  ,Idris-P                   ,3
Defender                  ,Intrepid                  ,3
Defender                  ,Ironclad                  ,4
Defender                  ,Ironclad Assault          ,3
Defender                  ,Javelin                   ,3
Defender                  ,Khartu-Al                 ,1
Defender                  ,Kraken                    ,4
Defender                  ,Kraken Privateer          ,4
Defender                  ,Legionnaire               ,3
Defender                  ,Liberator                 ,4
Defender                  ,Lynx                      ,3
Defender                  ,M2 Hercules               ,2
Defender                  ,M50                       ,3
Defender                  ,Mantis                    ,2
Defender                  ,Merchantman               ,3
Defender                  ,Mercury                   ,3
Defender                  ,MOLE                      ,3
Defender                  ,MPUV Cargo                ,3
Defender                  ,MPUV Personnel            ,3
Defender                  ,MPUV Tractor              ,3
Defender                  ,Mule                      ,3
Defender                  ,Mustang Alpha             ,3
Defender                  ,Mustang Beta              ,3
Defender                  ,Mustang Delta             ,1
Defender                  ,Mustang Gamma             ,3
Defender                  ,Mustang Omega             ,3
Defender                  ,Nautilus                  ,3
Defender                  ,Nomad                     ,3
Defender                  ,Nova                      ,3
Defender                  ,Nox                       ,3
Defender                  ,Odyssey                   ,4
Defender                  ,Orion                     ,4
Defender                  ,P-52 Merlin               ,2
Defender                  ,P-72 Archimedes           ,3
Defender                  ,Paladin                   ,3
Defender                  ,Perseus                   ,3
Defender                  ,Pioneer                   ,4
Defender                  ,Polaris                   ,2
Defender                  ,Prospector                ,3
Defender                  ,Prowler                   ,2
Defender                  ,PTV                       ,3
Defender                  ,Pulse                     ,3
Defender                  ,Pulse LX                  ,3
Defender                  ,RAFT                      ,3
Defender                  ,Railen                    ,4
Defender                  ,Ranger CV                 ,4
Defender                  ,Ranger RC                 ,4
Defender                  ,Ranger TR                 ,4
Defender                  ,Razor                     ,3
Defender                  ,Razor EX                  ,3
Defender                  ,Razor LX                  ,3
Defender                  ,Reclaimer                 ,3
Defender                  ,Redeemer                  ,2
Defender                  ,Reliant Kore              ,3
Defender                  ,Reliant Mako              ,3
Defender                  ,Reliant Sen               ,3
Defender                  ,Reliant Tana              ,1
Defender                  ,Retaliator                ,2
Defender                  ,ROC                       ,3
Defender                  ,ROC-DS                    ,3
Defender                  ,Sabre                     ,2
Defender                  ,Sabre Firebird            ,2
Defender                  ,Sabre Peregrine           ,3
Defender                  ,Sabre Raven               ,2
Defender                  ,San'tok.yāi               ,2
Defender                  ,Scorpius                  ,2
Defender                  ,Scorpius Antares          ,2
Defender                  ,Scythe                    ,2
Defender                  ,Spartan                   ,3
Defender                  ,SRV                       ,3
Defender                  ,Starfarer                 ,3
Defender                  ,Starfarer Gemini          ,3
Defender                  ,Starlancer MAX            ,3
Defender                  ,Starlancer TAC            ,3
Defender                  ,Storm                     ,3
Defender                  ,Storm AA                  ,3
Defender                  ,STV                       ,3
Defender                  ,Talon                     ,1
Defender                  ,Ursa                      ,3
Defender                  ,Talon Shrike              ,1
Defender                  ,Terrapin                  ,3
Defender                  ,Terrapin Medic            ,3
Defender                  ,Ursa                      ,3
Defender                  ,Ursa Medivac              ,3
Defender                  ,Valkyrie                  ,2
Defender                  ,Vanguard Harbinger        ,2
Defender                  ,Vanguard Hoplite          ,2
Defender                  ,Vanguard Sentinel         ,2
Defender                  ,Vanguard Warden           ,2
Defender                  ,Vulcan                    ,4
Defender                  ,Vulture                   ,3
Defender                  ,X1                        ,3
Defender                  ,X1 Force                  ,3
Defender                  ,X1 Velocity               ,3
Defender                  ,Zeus CL Mk II             ,3
Defender                  ,Zeus ES Mk II             ,3
Defender                  ,Zeus MR Mk II             ,3
Dragonfly                 ,100i                      ,3
Dragonfly                 ,125a                      ,3
Dragonfly                 ,135c                      ,3
Dragonfly                 ,300i                      ,3
Dragonfly                 ,315p                      ,3
Dragonfly                 ,325a                      ,3
Dragonfly                 ,350r                      ,1
Dragonfly                 ,400i                      ,3
Dragonfly                 ,600i Explorer             ,3
Dragonfly                 ,600i Touring              ,3
Dragonfly                 ,85X                       ,3
Dragonfly                 ,890 Jump                  ,3
Dragonfly                 ,A1 Spirit                 ,3
Dragonfly                 ,A2 Hercules               ,3
Dragonfly                 ,Apollo Medivac            ,4
Dragonfly                 ,Apollo Triage             ,4
Dragonfly                 ,Ares Star Fighter Inferno ,3
Dragonfly                 ,Ares Star Fighter Ion     ,3
Dragonfly                 ,Arrastra                  ,4
Dragonfly                 ,Arrow                     ,3
Dragonfly                 ,ATLS                      ,3
Dragonfly                 ,Aurora CL                 ,3
Dragonfly                 ,Aurora ES                 ,3
Dragonfly                 ,Aurora LN                 ,3
Dragonfly                 ,Aurora LX                 ,3
Dragonfly                 ,Aurora MR                 ,3
Dragonfly                 ,Avenger Stalker           ,3
Dragonfly                 ,Avenger Titan             ,3
Dragonfly                 ,Avenger Warlock           ,3
Dragonfly                 ,Ballista                  ,3
Dragonfly                 ,Blade                     ,3
Dragonfly                 ,Buccaneer                 ,2
Dragonfly                 ,C1 Spirit                 ,3
Dragonfly                 ,C2 Hercules               ,3
Dragonfly                 ,C8 Pisces                 ,3
Dragonfly                 ,C8R Pisces                ,3
Dragonfly                 ,C8X Pisces Expedition     ,3
Dragonfly                 ,Carrack                   ,3
Dragonfly                 ,Caterpillar               ,2
Dragonfly                 ,Centurion                 ,3
Dragonfly                 ,Constellation Andromeda   ,3
Dragonfly                 ,Constellation Aquila      ,3
Dragonfly                 ,Constellation Phoenix     ,3
Dragonfly                 ,Constellation Taurus      ,3
Dragonfly                 ,Corsair                   ,2
Dragonfly                 ,Crucible                  ,4
Dragonfly                 ,CSV-SM                    ,3
Dragonfly                 ,Cutlass Black             ,2
Dragonfly                 ,Cutlass Blue              ,2
Dragonfly                 ,Cutlass Red               ,2
Dragonfly                 ,Cutlass Steel             ,2
Dragonfly                 ,Cutter                    ,2
Dragonfly                 ,Cutter Rambler            ,2
Dragonfly                 ,Cutter Scout              ,2
Dragonfly                 ,Cyclone                   ,3
Dragonfly                 ,Cyclone AA                ,3
Dragonfly                 ,Cyclone MT                ,3
Dragonfly                 ,Cyclone RC                ,2
Dragonfly                 ,Cyclone RN                ,3
Dragonfly                 ,Cyclone TR                ,3
Dragonfly                 ,Defender                  ,3
Dragonfly                 ,E1 Spirit                 ,4
Dragonfly                 ,Eclipse                   ,3
Dragonfly                 ,Endeavor                  ,4
Dragonfly                 ,Expanse                   ,4
Dragonfly                 ,F7A Hornet Mk I           ,3
Dragonfly                 ,F7A Hornet Mk II          ,4
Dragonfly                 ,F7C Hornet Mk I           ,3
Dragonfly                 ,F7C Hornet Mk II          ,3
Dragonfly                 ,F7C-M Super Hornet        ,3
Dragonfly                 ,F7C-R Hornet Tracker      ,3
Dragonfly                 ,F7C-R Hornet Tracker Mk II,3
Dragonfly                 ,F7C-S Hornet Ghost        ,3
Dragonfly                 ,F7C-S Hornet Ghost Mk II  ,3
Dragonfly                 ,F8C Lightning             ,3
Dragonfly                 ,Freelancer                ,3
Dragonfly                 ,Freelancer DUR            ,3
Dragonfly                 ,Freelancer MAX            ,3
Dragonfly                 ,Freelancer MIS            ,3
Dragonfly                 ,Fury                      ,3
Dragonfly                 ,Fury LX                   ,1
Dragonfly                 ,Fury MX                   ,3
Dragonfly                 ,G12                       ,4
Dragonfly                 ,G12a                      ,4
Dragonfly                 ,G12r                      ,2
Dragonfly                 ,Galaxy                    ,4
Dragonfly                 ,Genesis                   ,4
Dragonfly                 ,Gladiator                 ,3
Dragonfly                 ,Gladius                   ,3
Dragonfly                 ,Glaive                    ,3
Dragonfly                 ,Guardian                  ,3
Dragonfly                 ,Guardian QI               ,3
Dragonfly                 ,Hammerhead                ,3
Dragonfly                 ,Hawk                      ,3
Dragonfly                 ,Herald                    ,2
Dragonfly                 ,HoverQuad                 ,2
Dragonfly                 ,Hull A                    ,3
Dragonfly                 ,Hull B                    ,4
Dragonfly                 ,Hull C                    ,3
Dragonfly                 ,Hull D                    ,4
Dragonfly                 ,Hull E                    ,4
Dragonfly                 ,Hurricane                 ,3
Dragonfly                 ,Idris-M                   ,4
Dragonfly                 ,Idris-P                   ,4
Dragonfly                 ,Intrepid                  ,3
Dragonfly                 ,Ironclad                  ,3
Dragonfly                 ,Ironclad Assault          ,3
Dragonfly                 ,Javelin                   ,4
Dragonfly                 ,Khartu-Al                 ,3
Dragonfly                 ,Kraken                    ,3
Dragonfly                 ,Kraken Privateer          ,3
Dragonfly                 ,Legionnaire               ,4
Dragonfly                 ,Liberator                 ,4
Dragonfly                 ,Lynx                      ,3
Dragonfly                 ,M2 Hercules               ,3
Dragonfly                 ,M50                       ,1
Dragonfly                 ,Mantis                    ,3
Dragonfly                 ,Merchantman               ,4
Dragonfly                 ,Mercury                   ,3
Dragonfly                 ,MOLE                      ,3
Dragonfly                 ,MPUV Cargo                ,3
Dragonfly                 ,MPUV Personnel            ,3
Dragonfly                 ,MPUV Tractor              ,3
Dragonfly                 ,Mule                      ,2
Dragonfly                 ,Mustang Alpha             ,3
Dragonfly                 ,Mustang Beta              ,3
Dragonfly                 ,Mustang Delta             ,3
Dragonfly                 ,Mustang Gamma             ,1
Dragonfly                 ,Mustang Omega             ,1
Dragonfly                 ,Nautilus                  ,4
Dragonfly                 ,Nomad                     ,3
Dragonfly                 ,Nova                      ,3
Dragonfly                 ,Nox                       ,1
Dragonfly                 ,Odyssey                   ,4
Dragonfly                 ,Orion                     ,4
Dragonfly                 ,P-52 Merlin               ,3
Dragonfly                 ,P-72 Archimedes           ,1
Dragonfly                 ,Paladin                   ,4
Dragonfly                 ,Perseus                   ,4
Dragonfly                 ,Pioneer                   ,4
Dragonfly                 ,Polaris                   ,3
Dragonfly                 ,Prospector                ,3
Dragonfly                 ,Prowler                   ,3
Dragonfly                 ,PTV                       ,3
Dragonfly                 ,Pulse                     ,3
Dragonfly                 ,Pulse LX                  ,2
Dragonfly                 ,RAFT                      ,3
Dragonfly                 ,Railen                    ,4
Dragonfly                 ,Ranger CV                 ,4
Dragonfly                 ,Ranger RC                 ,3
Dragonfly                 ,Ranger TR                 ,4
Dragonfly                 ,Razor                     ,1
Dragonfly                 ,Razor EX                  ,2
Dragonfly                 ,Razor LX                  ,2
Dragonfly                 ,Reclaimer                 ,3
Dragonfly                 ,Redeemer                  ,3
Dragonfly                 ,Reliant Kore              ,3
Dragonfly                 ,Reliant Mako              ,3
Dragonfly                 ,Reliant Sen               ,3
Dragonfly                 ,Reliant Tana              ,3
Dragonfly                 ,Retaliator                ,3
Dragonfly                 ,ROC                       ,3
Dragonfly                 ,ROC-DS                    ,3
Dragonfly                 ,Sabre                     ,3
Dragonfly                 ,Sabre Firebird            ,3
Dragonfly                 ,Sabre Peregrine           ,1
Dragonfly                 ,Sabre Raven               ,3
Dragonfly                 ,San'tok.yāi               ,3
Dragonfly                 ,Scorpius                  ,3
Dragonfly                 ,Scorpius Antares          ,3
Dragonfly                 ,Scythe                    ,3
Dragonfly                 ,Spartan                   ,3
Dragonfly                 ,SRV                       ,3
Dragonfly                 ,Starfarer                 ,3
Dragonfly                 ,Starfarer Gemini          ,3
Dragonfly                 ,Starlancer MAX            ,3
Dragonfly                 ,Starlancer TAC            ,4
Dragonfly                 ,Storm                     ,3
Dragonfly                 ,Storm AA                  ,3
Dragonfly                 ,STV                       ,3
Dragonfly                 ,Talon                     ,3
Dragonfly                 ,Ursa                      ,3
Dragonfly                 ,Talon Shrike              ,3
Dragonfly                 ,Terrapin                  ,3
Dragonfly                 ,Terrapin Medic            ,3
Dragonfly                 ,Ursa                      ,3
Dragonfly                 ,Ursa Medivac              ,3
Dragonfly                 ,Valkyrie                  ,3
Dragonfly                 ,Vanguard Harbinger        ,3
Dragonfly                 ,Vanguard Hoplite          ,3
Dragonfly                 ,Vanguard Sentinel         ,3
Dragonfly                 ,Vanguard Warden           ,3
Dragonfly                 ,Vulcan                    ,4
Dragonfly                 ,Vulture                   ,2
Dragonfly                 ,X1                        ,3
Dragonfly                 ,X1 Force                  ,3
Dragonfly                 ,X1 Velocity               ,1
Dragonfly                 ,Zeus CL Mk II             ,3
Dragonfly                 ,Zeus ES Mk II             ,3
Dragonfly                 ,Zeus MR Mk II             ,4
E1 Spirit                 ,100i                      ,4
E1 Spirit                 ,125a                      ,4
E1 Spirit                 ,135c                      ,4
E1 Spirit                 ,300i                      ,4
E1 Spirit                 ,315p                      ,4
E1 Spirit                 ,325a                      ,4
E1 Spirit                 ,350r                      ,4
E1 Spirit                 ,400i                      ,4
E1 Spirit                 ,600i Explorer             ,4
E1 Spirit                 ,600i Touring              ,4
E1 Spirit                 ,85X                       ,4
E1 Spirit                 ,890 Jump                  ,4
E1 Spirit                 ,A1 Spirit                 ,3
E1 Spirit                 ,A2 Hercules               ,3
E1 Spirit                 ,Apollo Medivac            ,3
E1 Spirit                 ,Apollo Triage             ,3
E1 Spirit                 ,Ares Star Fighter Inferno ,3
E1 Spirit                 ,Ares Star Fighter Ion     ,3
E1 Spirit                 ,Arrastra                  ,3
E1 Spirit                 ,Arrow                     ,4
E1 Spirit                 ,ATLS                      ,4
E1 Spirit                 ,Aurora CL                 ,3
E1 Spirit                 ,Aurora ES                 ,4
E1 Spirit                 ,Aurora LN                 ,3
E1 Spirit                 ,Aurora LX                 ,4
E1 Spirit                 ,Aurora MR                 ,3
E1 Spirit                 ,Avenger Stalker           ,4
E1 Spirit                 ,Avenger Titan             ,3
E1 Spirit                 ,Avenger Warlock           ,4
E1 Spirit                 ,Ballista                  ,4
E1 Spirit                 ,Blade                     ,4
E1 Spirit                 ,Buccaneer                 ,4
E1 Spirit                 ,C1 Spirit                 ,2
E1 Spirit                 ,C2 Hercules               ,2
E1 Spirit                 ,C8 Pisces                 ,4
E1 Spirit                 ,C8R Pisces                ,4
E1 Spirit                 ,C8X Pisces Expedition     ,4
E1 Spirit                 ,Carrack                   ,4
E1 Spirit                 ,Caterpillar               ,3
E1 Spirit                 ,Centurion                 ,4
E1 Spirit                 ,Constellation Andromeda   ,4
E1 Spirit                 ,Constellation Aquila      ,4
E1 Spirit                 ,Constellation Phoenix     ,4
E1 Spirit                 ,Constellation Taurus      ,3
E1 Spirit                 ,Corsair                   ,4
E1 Spirit                 ,Crucible                  ,3
E1 Spirit                 ,CSV-SM                    ,4
E1 Spirit                 ,Cutlass Black             ,4
E1 Spirit                 ,Cutlass Blue              ,4
E1 Spirit                 ,Cutlass Red               ,4
E1 Spirit                 ,Cutlass Steel             ,4
E1 Spirit                 ,Cutter                    ,3
E1 Spirit                 ,Cutter Rambler            ,4
E1 Spirit                 ,Cutter Scout              ,4
E1 Spirit                 ,Cyclone                   ,4
E1 Spirit                 ,Cyclone AA                ,4
E1 Spirit                 ,Cyclone MT                ,4
E1 Spirit                 ,Cyclone RC                ,4
E1 Spirit                 ,Cyclone RN                ,4
E1 Spirit                 ,Cyclone TR                ,4
E1 Spirit                 ,Defender                  ,4
E1 Spirit                 ,Dragonfly                 ,4
E1 Spirit                 ,Eclipse                   ,4
E1 Spirit                 ,Endeavor                  ,3
E1 Spirit                 ,Expanse                   ,3
E1 Spirit                 ,F7A Hornet Mk I           ,4
E1 Spirit                 ,F7A Hornet Mk II          ,3
E1 Spirit                 ,F7C Hornet Mk I           ,4
E1 Spirit                 ,F7C Hornet Mk II          ,4
E1 Spirit                 ,F7C-M Super Hornet        ,4
E1 Spirit                 ,F7C-R Hornet Tracker      ,4
E1 Spirit                 ,F7C-R Hornet Tracker Mk II,4
E1 Spirit                 ,F7C-S Hornet Ghost        ,4
E1 Spirit                 ,F7C-S Hornet Ghost Mk II  ,4
E1 Spirit                 ,F8C Lightning             ,4
E1 Spirit                 ,Freelancer                ,3
E1 Spirit                 ,Freelancer DUR            ,4
E1 Spirit                 ,Freelancer MAX            ,3
E1 Spirit                 ,Freelancer MIS            ,4
E1 Spirit                 ,Fury                      ,4
E1 Spirit                 ,Fury LX                   ,4
E1 Spirit                 ,Fury MX                   ,4
E1 Spirit                 ,G12                       ,3
E1 Spirit                 ,G12a                      ,3
E1 Spirit                 ,G12r                      ,3
E1 Spirit                 ,Galaxy                    ,3
E1 Spirit                 ,Genesis                   ,0
E1 Spirit                 ,Gladiator                 ,4
E1 Spirit                 ,Gladius                   ,4
E1 Spirit                 ,Glaive                    ,4
E1 Spirit                 ,Guardian                  ,4
E1 Spirit                 ,Guardian QI               ,4
E1 Spirit                 ,Hammerhead                ,4
E1 Spirit                 ,Hawk                      ,4
E1 Spirit                 ,Herald                    ,3
E1 Spirit                 ,HoverQuad                 ,4
E1 Spirit                 ,Hull A                    ,4
E1 Spirit                 ,Hull B                    ,2
E1 Spirit                 ,Hull C                    ,3
E1 Spirit                 ,Hull D                    ,2
E1 Spirit                 ,Hull E                    ,2
E1 Spirit                 ,Hurricane                 ,4
E1 Spirit                 ,Idris-M                   ,3
E1 Spirit                 ,Idris-P                   ,3
E1 Spirit                 ,Intrepid                  ,2
E1 Spirit                 ,Ironclad                  ,2
E1 Spirit                 ,Ironclad Assault          ,3
E1 Spirit                 ,Javelin                   ,3
E1 Spirit                 ,Khartu-Al                 ,4
E1 Spirit                 ,Kraken                    ,3
E1 Spirit                 ,Kraken Privateer          ,3
E1 Spirit                 ,Legionnaire               ,3
E1 Spirit                 ,Liberator                 ,2
E1 Spirit                 ,Lynx                      ,4
E1 Spirit                 ,M2 Hercules               ,3
E1 Spirit                 ,M50                       ,4
E1 Spirit                 ,Mantis                    ,4
E1 Spirit                 ,Merchantman               ,2
E1 Spirit                 ,Mercury                   ,2
E1 Spirit                 ,MOLE                      ,4
E1 Spirit                 ,MPUV Cargo                ,3
E1 Spirit                 ,MPUV Personnel            ,2
E1 Spirit                 ,MPUV Tractor              ,3
E1 Spirit                 ,Mule                      ,4
E1 Spirit                 ,Mustang Alpha             ,4
E1 Spirit                 ,Mustang Beta              ,4
E1 Spirit                 ,Mustang Delta             ,4
E1 Spirit                 ,Mustang Gamma             ,4
E1 Spirit                 ,Mustang Omega             ,4
E1 Spirit                 ,Nautilus                  ,3
E1 Spirit                 ,Nomad                     ,4
E1 Spirit                 ,Nova                      ,4
E1 Spirit                 ,Nox                       ,4
E1 Spirit                 ,Odyssey                   ,3
E1 Spirit                 ,Orion                     ,3
E1 Spirit                 ,P-52 Merlin               ,4
E1 Spirit                 ,P-72 Archimedes           ,4
E1 Spirit                 ,Paladin                   ,3
E1 Spirit                 ,Perseus                   ,3
E1 Spirit                 ,Pioneer                   ,3
E1 Spirit                 ,Polaris                   ,4
E1 Spirit                 ,Prospector                ,4
E1 Spirit                 ,Prowler                   ,4
E1 Spirit                 ,PTV                       ,4
E1 Spirit                 ,Pulse                     ,4
E1 Spirit                 ,Pulse LX                  ,4
E1 Spirit                 ,RAFT                      ,3
E1 Spirit                 ,Railen                    ,2
E1 Spirit                 ,Ranger CV                 ,3
E1 Spirit                 ,Ranger RC                 ,3
E1 Spirit                 ,Ranger TR                 ,3
E1 Spirit                 ,Razor                     ,4
E1 Spirit                 ,Razor EX                  ,4
E1 Spirit                 ,Razor LX                  ,4
E1 Spirit                 ,Reclaimer                 ,4
E1 Spirit                 ,Redeemer                  ,4
E1 Spirit                 ,Reliant Kore              ,4
E1 Spirit                 ,Reliant Mako              ,4
E1 Spirit                 ,Reliant Sen               ,4
E1 Spirit                 ,Reliant Tana              ,4
E1 Spirit                 ,Retaliator                ,4
E1 Spirit                 ,ROC                       ,4
E1 Spirit                 ,ROC-DS                    ,4
E1 Spirit                 ,Sabre                     ,4
E1 Spirit                 ,Sabre Firebird            ,4
E1 Spirit                 ,Sabre Peregrine           ,4
E1 Spirit                 ,Sabre Raven               ,4
E1 Spirit                 ,San'tok.yāi               ,4
E1 Spirit                 ,Scorpius                  ,4
E1 Spirit                 ,Scorpius Antares          ,4
E1 Spirit                 ,Scythe                    ,4
E1 Spirit                 ,Spartan                   ,4
E1 Spirit                 ,SRV                       ,4
E1 Spirit                 ,Starfarer                 ,4
E1 Spirit                 ,Starfarer Gemini          ,4
E1 Spirit                 ,Starlancer MAX            ,3
E1 Spirit                 ,Starlancer TAC            ,3
E1 Spirit                 ,Storm                     ,4
E1 Spirit                 ,Storm AA                  ,4
E1 Spirit                 ,STV                       ,4
E1 Spirit                 ,Talon                     ,4
E1 Spirit                 ,Ursa                      ,4
E1 Spirit                 ,Talon Shrike              ,4
E1 Spirit                 ,Terrapin                  ,4
E1 Spirit                 ,Terrapin Medic            ,4
E1 Spirit                 ,Ursa                      ,4
E1 Spirit                 ,Ursa Medivac              ,4
E1 Spirit                 ,Valkyrie                  ,4
E1 Spirit                 ,Vanguard Harbinger        ,4
E1 Spirit                 ,Vanguard Hoplite          ,4
E1 Spirit                 ,Vanguard Sentinel         ,4
E1 Spirit                 ,Vanguard Warden           ,4
E1 Spirit                 ,Vulcan                    ,3
E1 Spirit                 ,Vulture                   ,4
E1 Spirit                 ,X1                        ,4
E1 Spirit                 ,X1 Force                  ,4
E1 Spirit                 ,X1 Velocity               ,4
E1 Spirit                 ,Zeus CL Mk II             ,3
E1 Spirit                 ,Zeus ES Mk II             ,4
E1 Spirit                 ,Zeus MR Mk II             ,3
Eclipse                   ,100i                      ,3
Eclipse                   ,125a                      ,3
Eclipse                   ,135c                      ,3
Eclipse                   ,300i                      ,3
Eclipse                   ,315p                      ,3
Eclipse                   ,325a                      ,2
Eclipse                   ,350r                      ,3
Eclipse                   ,400i                      ,3
Eclipse                   ,600i Explorer             ,3
Eclipse                   ,600i Touring              ,3
Eclipse                   ,85X                       ,3
Eclipse                   ,890 Jump                  ,3
Eclipse                   ,A1 Spirit                 ,2
Eclipse                   ,A2 Hercules               ,2
Eclipse                   ,Apollo Medivac            ,4
Eclipse                   ,Apollo Triage             ,4
Eclipse                   ,Ares Star Fighter Inferno ,2
Eclipse                   ,Ares Star Fighter Ion     ,2
Eclipse                   ,Arrastra                  ,4
Eclipse                   ,Arrow                     ,2
Eclipse                   ,ATLS                      ,3
Eclipse                   ,Aurora CL                 ,3
Eclipse                   ,Aurora ES                 ,3
Eclipse                   ,Aurora LN                 ,3
Eclipse                   ,Aurora LX                 ,3
Eclipse                   ,Aurora MR                 ,3
Eclipse                   ,Avenger Stalker           ,1
Eclipse                   ,Avenger Titan             ,2
Eclipse                   ,Avenger Warlock           ,1
Eclipse                   ,Ballista                  ,2
Eclipse                   ,Blade                     ,2
Eclipse                   ,Buccaneer                 ,2
Eclipse                   ,C1 Spirit                 ,3
Eclipse                   ,C2 Hercules               ,3
Eclipse                   ,C8 Pisces                 ,3
Eclipse                   ,C8R Pisces                ,3
Eclipse                   ,C8X Pisces Expedition     ,3
Eclipse                   ,Carrack                   ,3
Eclipse                   ,Caterpillar               ,3
Eclipse                   ,Centurion                 ,3
Eclipse                   ,Constellation Andromeda   ,3
Eclipse                   ,Constellation Aquila      ,3
Eclipse                   ,Constellation Phoenix     ,3
Eclipse                   ,Constellation Taurus      ,3
Eclipse                   ,Corsair                   ,3
Eclipse                   ,Crucible                  ,4
Eclipse                   ,CSV-SM                    ,3
Eclipse                   ,Cutlass Black             ,3
Eclipse                   ,Cutlass Blue              ,2
Eclipse                   ,Cutlass Red               ,3
Eclipse                   ,Cutlass Steel             ,2
Eclipse                   ,Cutter                    ,3
Eclipse                   ,Cutter Rambler            ,3
Eclipse                   ,Cutter Scout              ,3
Eclipse                   ,Cyclone                   ,3
Eclipse                   ,Cyclone AA                ,3
Eclipse                   ,Cyclone MT                ,3
Eclipse                   ,Cyclone RC                ,3
Eclipse                   ,Cyclone RN                ,3
Eclipse                   ,Cyclone TR                ,3
Eclipse                   ,Defender                  ,2
Eclipse                   ,Dragonfly                 ,3
Eclipse                   ,E1 Spirit                 ,4
Eclipse                   ,Endeavor                  ,4
Eclipse                   ,Expanse                   ,4
Eclipse                   ,F7A Hornet Mk I           ,2
Eclipse                   ,F7A Hornet Mk II          ,3
Eclipse                   ,F7C Hornet Mk I           ,2
Eclipse                   ,F7C Hornet Mk II          ,2
Eclipse                   ,F7C-M Super Hornet        ,2
Eclipse                   ,F7C-R Hornet Tracker      ,2
Eclipse                   ,F7C-R Hornet Tracker Mk II,2
Eclipse                   ,F7C-S Hornet Ghost        ,2
Eclipse                   ,F7C-S Hornet Ghost Mk II  ,2
Eclipse                   ,F8C Lightning             ,2
Eclipse                   ,Freelancer                ,3
Eclipse                   ,Freelancer DUR            ,3
Eclipse                   ,Freelancer MAX            ,3
Eclipse                   ,Freelancer MIS            ,2
Eclipse                   ,Fury                      ,2
Eclipse                   ,Fury LX                   ,3
Eclipse                   ,Fury MX                   ,2
Eclipse                   ,G12                       ,4
Eclipse                   ,G12a                      ,4
Eclipse                   ,G12r                      ,4
Eclipse                   ,Galaxy                    ,4
Eclipse                   ,Genesis                   ,4
Eclipse                   ,Gladiator                 ,2
Eclipse                   ,Gladius                   ,1
Eclipse                   ,Glaive                    ,2
Eclipse                   ,Guardian                  ,2
Eclipse                   ,Guardian QI               ,2
Eclipse                   ,Hammerhead                ,1
Eclipse                   ,Hawk                      ,2
Eclipse                   ,Herald                    ,3
Eclipse                   ,HoverQuad                 ,3
Eclipse                   ,Hull A                    ,3
Eclipse                   ,Hull B                    ,4
Eclipse                   ,Hull C                    ,3
Eclipse                   ,Hull D                    ,4
Eclipse                   ,Hull E                    ,4
Eclipse                   ,Hurricane                 ,2
Eclipse                   ,Idris-M                   ,2
Eclipse                   ,Idris-P                   ,2
Eclipse                   ,Intrepid                  ,3
Eclipse                   ,Ironclad                  ,4
Eclipse                   ,Ironclad Assault          ,3
Eclipse                   ,Javelin                   ,2
Eclipse                   ,Khartu-Al                 ,2
Eclipse                   ,Kraken                    ,4
Eclipse                   ,Kraken Privateer          ,4
Eclipse                   ,Legionnaire               ,3
Eclipse                   ,Liberator                 ,4
Eclipse                   ,Lynx                      ,3
Eclipse                   ,M2 Hercules               ,2
Eclipse                   ,M50                       ,3
Eclipse                   ,Mantis                    ,2
Eclipse                   ,Merchantman               ,4
Eclipse                   ,Mercury                   ,3
Eclipse                   ,MOLE                      ,3
Eclipse                   ,MPUV Cargo                ,3
Eclipse                   ,MPUV Personnel            ,3
Eclipse                   ,MPUV Tractor              ,3
Eclipse                   ,Mule                      ,3
Eclipse                   ,Mustang Alpha             ,3
Eclipse                   ,Mustang Beta              ,3
Eclipse                   ,Mustang Delta             ,2
Eclipse                   ,Mustang Gamma             ,3
Eclipse                   ,Mustang Omega             ,3
Eclipse                   ,Nautilus                  ,2
Eclipse                   ,Nomad                     ,3
Eclipse                   ,Nova                      ,3
Eclipse                   ,Nox                       ,3
Eclipse                   ,Odyssey                   ,4
Eclipse                   ,Orion                     ,4
Eclipse                   ,P-52 Merlin               ,2
Eclipse                   ,P-72 Archimedes           ,3
Eclipse                   ,Paladin                   ,3
Eclipse                   ,Perseus                   ,3
Eclipse                   ,Pioneer                   ,4
Eclipse                   ,Polaris                   ,2
Eclipse                   ,Prospector                ,3
Eclipse                   ,Prowler                   ,2
Eclipse                   ,PTV                       ,3
Eclipse                   ,Pulse                     ,3
Eclipse                   ,Pulse LX                  ,3
